ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,17,6.591,0.4217,0.1921,0.0799,0.1889,0.0622,0.0551,1494.99,1513.5,-0.5,27.35,2.0
2,Joey Logano,22,Team Penske,Team Penske,Ford,2,6.401,0.1705,0.5452,0.1177,0.0711,0.0773,0.0181,1500.28,1515.13,-6.0,24.14,17.0
3,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,9,6.381,0.3762,0.1405,0.2273,0.1493,0.0507,0.056,1514.27,1513.16,-0.83,26.26,10.0
4,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,6,6.298,0.2808,0.2896,0.2045,0.1248,0.0658,0.0344,1513.01,1510.58,-1.83,27.35,13.0
5,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,1,6.06,0.1787,0.4788,0.1197,0.0769,0.0932,0.0528,1515.56,1513.79,-5.5,27.35,18.0
6,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,11,5.451,0.0978,0.3772,0.2749,0.1411,0.0341,0.0748,1514.99,1510.98,0.83,24.41,8.0
7,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,10,5.317,0.0814,0.3793,0.2565,0.1668,0.0646,0.0514,1501.29,1509.04,2.67,24.41,9.0
8,Ryan Blaney,12,Team Penske,Team Penske,Ford,12,5.165,0.1299,0.2514,0.2991,0.171,0.0984,0.0502,1503.14,1514.8,3.67,24.14,7.0
9,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,4,4.828,0.2355,0.0593,0.2612,0.2023,0.1444,0.0973,1498.81,1500.42,-0.33,18.29,15.0
10,Chris Buescher,17,RFK Racing,RFK Racing,Ford,13,4.418,0.1416,0.1138,0.2078,0.3428,0.1382,0.0558,1511.15,1511.42,1.67,25.18,6.0
11,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,3,4.057,0.0625,0.1985,0.2186,0.2461,0.2107,0.0635,1506.44,1504.56,1.33,21.25,16.0
12,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,19,3.947,0.1191,0.1106,0.1965,0.2739,0.1777,0.1222,1502.88,1510.43,2.83,26.26,0.0
13,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,20,3.595,0.0674,0.1331,0.1709,0.2999,0.2348,0.0939,1506.71,1506.1,1.17,25.18,-1.0
14,Austin Cindric,2,Team Penske,Team Penske,Ford,14,3.264,0.0263,0.0928,0.2065,0.3506,0.2672,0.0566,1499.81,1508.57,4.5,24.14,5.0
15,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,7,3.243,0.0243,0.0598,0.2234,0.4151,0.2189,0.0585,1508.51,1497.64,2.83,20.28,12.0
16,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,8,3.235,0.0205,0.1671,0.0877,0.4018,0.2164,0.1065,1505.24,1499.52,0.0,21.25,11.0
17,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,32,3.031,0.0622,0.0888,0.1474,0.251,0.2972,0.1534,1510.37,1506.44,-4.83,27.35,-13.0
18,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,34,3.019,0.0741,0.1412,0.0659,0.225,0.2847,0.2091,1493.92,1492.2,-11.17,24.41,-15.0
19,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,15,3.014,0.0349,0.0675,0.1579,0.3987,0.2065,0.1344,1512.67,1502.62,-5.0,19.82,4.0
20,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,31,2.849,0.0424,0.0635,0.1491,0.3,0.3351,0.11,1493.14,1508.47,5.0,23.44,-12.0
21,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,21,2.653,0.04,0.0318,0.1393,0.3582,0.2589,0.1718,1492.19,1499.68,5.33,19.82,-2.0
22,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,5,2.612,0.0231,0.0598,0.1374,0.2883,0.4106,0.0808,1498.68,1501.08,3.0,16.3,14.0
23,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,22,2.531,0.0174,0.051,0.1002,0.3971,0.307,0.1272,1504.07,1494.62,7.0,23.15,-3.0
24,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,16,2.518,0.0192,0.0614,0.1017,0.3397,0.3684,0.1096,1496.14,1500.64,-3.5,17.26,3.0
25,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,18,2.514,0.0355,0.0407,0.0815,0.3777,0.3332,0.1314,1504.75,1493.88,1.0,19.36,1.0
26,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,24,2.504,0.0194,0.0642,0.1248,0.2805,0.3947,0.1164,1507.54,1503.85,3.5,23.44,-5.0
27,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,29,2.087,0.01,0.0703,0.0585,0.2267,0.5217,0.1128,1511.84,1507.92,17.0,19.77,-10.0
28,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,30,2.077,0.0179,0.0305,0.1007,0.2154,0.5344,0.1011,1506.85,1497.28,-4.67,21.48,-11.0
29,Ryan Preece,60,RFK Racing,RFK Racing,Ford,28,1.909,0.0158,0.0193,0.0597,0.2696,0.5086,0.1269,1494.25,1492.66,3.33,21.76,-9.0
30,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,25,1.846,0.01,0.0213,0.0685,0.223,0.5858,0.0914,1497.73,1498.83,6.5,18.0,-6.0
31,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,26,1.839,0.0069,0.0168,0.0485,0.287,0.5492,0.0916,1497.41,1491.13,2.83,20.22,-7.0
32,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,23,1.781,0.0074,0.0105,0.0307,0.3045,0.5663,0.0806,1501.85,1493.21,-6.17,14.88,-4.0
33,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,27,1.609,0.0063,0.0153,0.046,0.1898,0.6393,0.1033,1508.95,1503.34,0.5,19.96,-8.0
34,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,33,1.564,0.0089,0.0276,0.0498,0.1275,0.6502,0.1361,1511.33,1507.94,4.0,19.81,-14.0
35,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,36,1.34,0.0061,0.0154,0.0334,0.0935,0.7243,0.1273,1501.17,1498.62,2.67,16.3,-17.0
36,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,35,1.163,0.0053,0.0102,0.0276,0.063,0.711,0.1829,1496.86,1494.09,3.33,15.16,-16.0
37,Katherine Legge,78,Live Fast Motorsports,Live Fast Motorsports,Chevrolet,37,1.023,0.0143,0.014,0.0333,0.0466,0.4756,0.4162,1500.0,1500.0,0.0,11.74,-18.0
