ep_rank,driver,car_number,team,expected_points
1,Shane van Gisbergen,97,Trackhouse Racing,4.371
2,Ty Gibbs,54,Joe Gibbs Racing,4.157
3,Ryan Blaney,12,Team Penske,3.894
4,Michael McDowell,71,Spire Motorsports,3.849
5,Tyler Reddick,45,23XI Racing,3.738
