ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,18,6.63,0.2938,0.4286,0.0601,0.1135,0.0509,0.0531,1499.39,1497.4,-8.17,28.61,2.5
2,Ryan Blaney,12,Team Penske,Team Penske,Ford,3,5.52,0.2226,0.2366,0.2561,0.1023,0.051,0.1315,1516.06,1514.1,3.83,24.26,17.5
3,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,15,5.493,0.2752,0.1313,0.2323,0.1931,0.0813,0.0868,1514.45,1512.07,5.67,28.61,5.5
4,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,11,4.929,0.1638,0.3056,0.1209,0.1629,0.0589,0.1879,1511.5,1510.59,0.33,28.61,9.5
5,Austin Cindric,2,Team Penske,Team Penske,Ford,4,4.928,0.1368,0.2768,0.2102,0.1531,0.1125,0.1107,1510.52,1509.87,-8.33,24.26,16.5
6,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,10,4.824,0.0637,0.4755,0.1101,0.0792,0.0707,0.2009,1517.7,1515.01,-4.17,26.01,10.5
7,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,9,4.767,0.102,0.311,0.1852,0.1807,0.1016,0.1194,1509.94,1508.2,-7.67,28.61,11.5
8,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,33,4.734,0.0792,0.3563,0.1726,0.1586,0.1093,0.124,1515.32,1514.58,-8.0,26.01,-12.5
9,Joey Logano,22,Team Penske,Team Penske,Ford,1,4.63,0.1453,0.2127,0.1875,0.2075,0.1276,0.1194,1506.6,1505.86,2.5,24.26,19.5
10,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,6,4.325,0.1788,0.0772,0.2398,0.2208,0.1357,0.1477,1511.13,1509.34,6.0,23.48,14.5
11,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,23,3.913,0.0248,0.2703,0.1408,0.2965,0.1796,0.088,1496.09,1493.51,-10.17,21.95,-2.5
12,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,16,3.852,0.027,0.2439,0.1703,0.2778,0.1894,0.0916,1508.53,1506.02,-11.17,26.01,4.5
13,Ryan Preece,60,RFK Racing,RFK Racing,Ford,5,3.729,0.0605,0.1412,0.2066,0.2992,0.2052,0.0873,1512.26,1510.98,9.33,23.48,15.5
14,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,2,3.616,0.036,0.1926,0.2293,0.1788,0.2257,0.1377,1508.99,1508.35,3.5,16.76,18.5
15,Chris Buescher,17,RFK Racing,RFK Racing,Ford,13,3.499,0.0615,0.1022,0.2404,0.2673,0.1657,0.163,1515.18,1513.79,-5.33,23.48,7.5
16,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,34,3.359,0.0797,0.0914,0.1806,0.2375,0.3062,0.1045,1500.28,1497.94,13.17,21.93,-13.5
17,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,24,3.237,0.0656,0.1095,0.1368,0.3079,0.207,0.1732,1493.54,1491.04,-6.0,21.95,-3.5
18,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,19,3.204,0.0468,0.0977,0.1964,0.2897,0.2013,0.1682,1514.08,1512.08,0.0,18.1,1.5
19,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,28,3.112,0.0579,0.0934,0.1494,0.2714,0.3176,0.1103,1505.52,1505.08,1.33,26.01,-7.5
20,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,32,2.902,0.0462,0.0508,0.1406,0.3878,0.2181,0.1565,1494.47,1491.62,-7.17,20.06,-11.5
21,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,8,2.895,0.0246,0.0565,0.2016,0.3213,0.2822,0.1139,1500.19,1498.84,-1.83,19.15,12.5
22,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,12,2.846,0.0306,0.0389,0.1688,0.4094,0.1963,0.156,1500.62,1500.06,1.5,20.8,8.5
23,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,30,2.787,0.0451,0.0686,0.1559,0.2721,0.2601,0.1982,1504.53,1503.87,-4.67,20.06,-9.5
24,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,29,2.672,0.0333,0.0481,0.1911,0.2647,0.2523,0.2104,1503.26,1502.61,7.0,20.8,-8.5
25,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,17,2.649,0.0335,0.0404,0.1239,0.3744,0.2891,0.1387,1498.51,1497.16,10.83,19.15,3.5
26,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,37,2.554,0.0164,0.0601,0.2087,0.1991,0.3283,0.1873,1497.24,1495.93,3.33,21.29,-16.5
27,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,26,2.54,0.012,0.1065,0.1035,0.2495,0.4083,0.1202,1509.31,1507.49,3.83,18.1,-5.5
28,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,21,2.499,0.0276,0.0532,0.1129,0.3226,0.3189,0.1649,1503.81,1502.17,-3.17,18.45,-0.5
29,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,22,2.462,0.013,0.0391,0.1374,0.3432,0.3416,0.1257,1504.13,1503.14,-6.17,20.06,-1.5
30,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,7,2.379,0.0174,0.0466,0.1344,0.2541,0.4441,0.1034,1502.98,1501.77,-0.5,16.76,13.5
31,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,31,2.351,0.03,0.0527,0.1076,0.2336,0.4424,0.1336,1506.87,1505.25,1.67,21.93,-10.5
32,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,20,2.322,0.0199,0.0506,0.1306,0.2919,0.2406,0.2664,1492.55,1491.39,3.67,21.95,0.5
33,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,14,2.193,0.0114,0.0404,0.0624,0.4059,0.2667,0.2132,1494.61,1493.34,-0.33,18.45,6.5
34,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,27,2.024,0.0088,0.0232,0.0736,0.3217,0.4407,0.132,1501.72,1499.73,-3.33,19.15,-6.5
35,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,35,2.018,0.0144,0.0418,0.0961,0.2224,0.434,0.1913,1496.52,1495.17,7.17,21.93,-14.5
36,Connor Zilisch,87,Trackhouse Racing,Trackhouse Racing,Chevrolet,36,1.975,0.0121,0.0479,0.0697,0.2469,0.4292,0.1941,1501.38,1500.0,10.0,21.93,-15.5
37,Corey LaJoie,01,Rick Ware Racing,Rick Ware Racing,Ford,25,1.553,0.0092,0.013,0.0245,0.2521,0.4904,0.2107,1494.83,1492.11,8.0,14.39,-4.5
38,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,39,1.194,0.0053,0.0104,0.026,0.1159,0.5903,0.2521,1497.47,1497.17,7.0,14.39,-18.5
39,B.J. McLeod,78,Live Fast Motorsports,Live Fast Motorsports,Chevrolet,38,1.134,0.0053,0.0119,0.0225,0.0619,0.6991,0.1993,1495.43,1502.52,6.5,9.22,-17.5
40,David Starr,66,Garage 66,Garage 66,Ford,40,0.979,0.0043,0.0071,0.015,0.0423,0.6845,0.2468,1492.41,1494.77,6.25,5.77,-19.5
