ep_rank,driver,car_number,team,expected_points
1,Christopher Bell,20,Joe Gibbs Racing,4.932
2,Chase Briscoe,19,Joe Gibbs Racing,4.9
3,Denny Hamlin,11,Joe Gibbs Racing,4.798
4,Kyle Larson,5,Hendrick Motorsports,4.631
5,Chase Elliott,9,Hendrick Motorsports,4.321
