ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,5.195,0.1864,0.3116,0.134,0.1159,0.1323,0.1198,1506.92,1514.41,2.5,26.82,17.5
2,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,4,4.544,0.0704,0.3202,0.2036,0.1521,0.1244,0.1293,1513.33,1513.24,0.17,22.93,15.5
3,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,7,4.471,0.0719,0.2416,0.2531,0.2256,0.1184,0.0894,1493.38,1511.34,-3.5,24.89,12.5
4,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,8,4.312,0.075,0.2594,0.2029,0.1879,0.1687,0.1061,1498.13,1510.49,-3.0,22.93,11.5
5,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,1,4.193,0.0971,0.2167,0.2155,0.1545,0.1641,0.1521,1501.63,1515.45,-0.33,24.89,18.5
6,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,12,4.166,0.0385,0.2797,0.2389,0.1599,0.149,0.134,1498.29,1507.64,10.0,27.07,7.5
7,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,4.138,0.1381,0.1312,0.2215,0.1971,0.1402,0.172,1500.05,1514.37,4.5,24.89,16.5
8,Chris Buescher,17,RFK Racing,RFK Racing,Ford,5,3.972,0.0755,0.1725,0.2289,0.2337,0.1636,0.1257,1508.89,1513.02,-2.17,27.07,14.5
9,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,22,3.891,0.0576,0.2362,0.1573,0.2452,0.1385,0.1651,1514.85,1500.89,5.83,26.82,-2.5
10,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,6,3.614,0.0437,0.1881,0.1889,0.2331,0.2169,0.1293,1498.34,1512.04,-0.5,22.61,13.5
11,Ryan Blaney,12,Team Penske,Team Penske,Ford,10,3.372,0.0282,0.1361,0.1978,0.3101,0.217,0.1107,1509.49,1508.51,-2.0,24.7,9.5
12,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,34,3.365,0.0254,0.2387,0.0947,0.2254,0.2903,0.1254,1501.87,1494.13,-10.5,24.89,-14.5
13,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,38,3.154,0.0278,0.1701,0.1332,0.2496,0.2709,0.1485,1503.0,1491.08,-4.83,26.82,-18.5
14,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,36,3.099,0.0172,0.1605,0.1238,0.323,0.2149,0.1605,1514.43,1493.04,-8.0,26.82,-16.5
15,Ryan Preece,60,RFK Racing,RFK Racing,Ford,13,2.963,0.0169,0.0967,0.175,0.3217,0.2768,0.1129,1508.02,1507.19,5.33,27.07,6.5
16,Austin Cindric,2,Team Penske,Team Penske,Ford,14,2.937,0.0452,0.1036,0.1411,0.2723,0.2377,0.2001,1511.59,1506.25,10.5,24.7,5.5
17,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,9,2.859,0.0208,0.0988,0.1136,0.3714,0.2772,0.1182,1500.14,1509.09,-3.0,22.93,10.5
18,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,11,2.695,0.0117,0.0711,0.1514,0.3451,0.2876,0.133,1504.09,1507.65,2.67,20.26,8.5
19,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,19,2.587,0.01,0.0412,0.1431,0.3968,0.2923,0.1166,1511.68,1503.62,-6.5,20.27,0.5
20,Shane van Gisbergen,97,Trackhouse Racing,Trackhouse Racing,Chevrolet,15,2.541,0.0116,0.0519,0.1347,0.362,0.3014,0.1383,1516.13,1505.35,-0.83,21.31,4.5
21,Joey Logano,22,Team Penske,Team Penske,Ford,37,2.53,0.0225,0.0777,0.1,0.3162,0.3127,0.1708,1492.37,1491.69,-6.67,24.7,-17.5
22,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,17,2.51,0.0112,0.0399,0.1266,0.4097,0.2556,0.1569,1513.92,1504.02,2.0,20.27,2.5
23,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,18,2.484,0.0098,0.0498,0.128,0.3533,0.338,0.1211,1496.45,1503.77,-7.0,18.21,1.5
24,A. J. Allmendinger,,,,,23,2.34,0.0113,0.0542,0.0956,0.3525,0.3128,0.1736,1500.0,1500.0,0.0,21.0,-3.5
25,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,27,2.339,0.0096,0.0437,0.1264,0.3284,0.3202,0.1718,1499.25,1498.51,2.33,21.31,-7.5
26,Daniel Suárez,,,,,24,2.327,0.0112,0.0532,0.0945,0.3508,0.3175,0.1728,1500.0,1500.0,0.0,21.0,-4.5
27,Josh Bilicki (i),,,,,25,2.309,0.0104,0.0531,0.0934,0.3469,0.3252,0.1708,1500.0,1500.0,0.0,21.0,-5.5
28,Connor Zilisch,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,16,2.301,0.0118,0.034,0.076,0.4127,0.3267,0.1388,1503.26,1505.02,6.0,21.31,3.5
29,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,20,2.222,0.0129,0.031,0.1281,0.2757,0.4081,0.1442,1510.11,1502.71,3.83,20.26,-0.5
30,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,28,2.136,0.0089,0.031,0.118,0.2515,0.4849,0.1057,1515.98,1497.87,-3.0,22.61,-8.5
31,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,21,2.06,0.0088,0.0285,0.0566,0.3551,0.4245,0.1265,1505.17,1501.1,-0.33,18.59,-1.5
32,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,29,1.797,0.0086,0.0172,0.0493,0.2783,0.5097,0.1369,1502.36,1497.6,3.33,18.59,-9.5
33,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,31,1.79,0.0073,0.0126,0.0615,0.2623,0.5336,0.1226,1496.08,1497.1,-2.83,17.06,-11.5
34,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,32,1.723,0.0086,0.0258,0.0477,0.2344,0.5157,0.1679,1505.1,1495.34,4.83,18.59,-12.5
35,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,26,1.677,0.008,0.0167,0.0415,0.2293,0.5842,0.1202,1495.83,1499.73,3.67,17.32,-6.5
36,Cole Custer,41,Haas Factory Team,Haas Factory Team,Chevrolet,35,1.327,0.0064,0.013,0.0185,0.1186,0.7242,0.1194,1506.66,1493.24,1.5,16.29,-15.5
37,Katherine Legge,,,,,33,1.32,0.0083,0.0124,0.0371,0.099,0.6684,0.1749,1493.18,1494.77,14.0,11.84,-13.5
38,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Chevrolet,30,1.209,0.0067,0.0101,0.0142,0.0591,0.8229,0.0869,1492.83,1497.14,-2.5,12.01,-10.5
