ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,4,5.804,0.2544,0.2828,0.1347,0.1901,0.0365,0.1015,1515.39,1491.69,-1.17,29.5,15.5
2,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,2,5.603,0.1583,0.3796,0.1636,0.1594,0.0673,0.0719,1514.6,1513.93,1.5,29.5,17.5
3,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,8,5.449,0.2595,0.1938,0.2114,0.1132,0.1004,0.1217,1503.33,1514.88,6.33,26.15,11.5
4,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,9,5.248,0.1748,0.2894,0.1913,0.1374,0.1054,0.1018,1511.32,1501.68,-2.67,25.21,10.5
5,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,16,5.109,0.1945,0.2416,0.1781,0.1731,0.0632,0.1495,1493.99,1512.33,5.17,26.15,3.5
6,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,17,4.957,0.2196,0.1647,0.2182,0.1288,0.1302,0.1385,1507.06,1512.88,-4.83,25.21,2.5
7,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,6,4.888,0.0774,0.3493,0.1967,0.1927,0.1073,0.0765,1505.23,1509.29,-7.17,26.15,13.5
8,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,29,4.565,0.1542,0.1982,0.1512,0.2452,0.1441,0.1071,1512.59,1510.17,-0.17,29.5,-9.5
9,Austin Cindric,2,Team Penske,Team Penske,Ford,3,4.242,0.0779,0.2635,0.2093,0.1353,0.1669,0.1472,1515.44,1507.58,-9.83,23.66,16.5
10,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,5,4.191,0.1028,0.1586,0.2346,0.2519,0.1241,0.128,1510.74,1496.21,-2.0,21.0,14.5
11,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,11,4.071,0.064,0.2295,0.1801,0.2485,0.1788,0.0992,1511.9,1492.56,-2.5,29.5,8.5
12,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,31,3.979,0.1456,0.1128,0.1644,0.2389,0.195,0.1433,1503.58,1510.23,6.67,22.27,-11.5
13,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,22,3.89,0.0806,0.1514,0.2136,0.2699,0.1468,0.1377,1507.05,1496.55,-2.33,26.15,-2.5
14,Ryan Blaney,12,Team Penske,Team Penske,Ford,24,3.653,0.0729,0.1487,0.2089,0.2033,0.2291,0.1371,1493.53,1512.27,-0.83,23.66,-4.5
15,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,26,3.645,0.0379,0.1647,0.2356,0.241,0.2115,0.1093,1499.19,1508.87,-6.33,20.39,-6.5
16,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,1,3.529,0.0835,0.0988,0.1828,0.3143,0.1449,0.1756,1512.13,1494.41,-5.5,21.0,18.5
17,Joey Logano,22,Team Penske,Team Penske,Ford,27,3.44,0.0352,0.1496,0.1996,0.2623,0.2554,0.0978,1492.96,1507.16,-1.83,23.66,-7.5
18,Chris Buescher,17,RFK Racing,RFK Racing,Ford,12,3.38,0.0309,0.1192,0.1971,0.3379,0.2371,0.0778,1496.46,1511.27,1.17,23.77,7.5
19,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,30,3.351,0.0583,0.0618,0.1636,0.4614,0.1329,0.122,1493.33,1493.55,-6.5,23.77,-10.5
20,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,18,3.127,0.0193,0.1417,0.1271,0.3731,0.188,0.1508,1514.01,1502.88,-6.67,21.01,1.5
21,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,7,3.091,0.0495,0.147,0.1261,0.2274,0.2543,0.1957,1500.14,1492.28,-6.33,16.14,12.5
22,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,13,2.942,0.0184,0.1076,0.1156,0.3788,0.2907,0.0889,1505.22,1507.68,-3.5,21.01,6.5
23,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,25,2.835,0.0474,0.0877,0.1664,0.2002,0.3142,0.1841,1511.73,1505.52,11.67,22.27,-5.5
24,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,15,2.823,0.0328,0.0765,0.1176,0.3767,0.2413,0.155,1499.86,1500.15,-0.17,21.0,4.5
