ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,6.202,0.3163,0.2616,0.1449,0.142,0.0571,0.078,1500.96,1499.65,-7.17,29.86,17.5
2,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,2,6.117,0.2461,0.3377,0.1765,0.1215,0.0448,0.0734,1515.33,1514.99,1.67,29.86,18.5
3,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,10,5.719,0.3359,0.1876,0.1517,0.0856,0.0314,0.2078,1515.34,1513.58,6.83,26.05,10.5
4,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,9,5.629,0.2762,0.1964,0.1745,0.1858,0.0626,0.1045,1513.83,1512.65,-4.17,29.86,11.5
5,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,7,5.242,0.0852,0.4002,0.1769,0.2109,0.0703,0.0564,1498.75,1496.97,-6.33,26.05,13.5
6,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,12,5.092,0.0868,0.3986,0.172,0.1621,0.088,0.0925,1505.1,1503.79,-2.17,24.32,8.5
7,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,20,4.807,0.0947,0.307,0.2013,0.1967,0.1137,0.0865,1494.28,1492.21,-1.83,26.05,0.5
8,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,1,4.615,0.1753,0.2053,0.1696,0.1658,0.0805,0.2036,1514.16,1512.75,-0.5,26.05,19.5
9,Joey Logano,22,Team Penske,Team Penske,Ford,16,4.382,0.0869,0.2189,0.2364,0.2297,0.1095,0.1185,1511.07,1509.7,0.67,23.82,4.5
10,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,22,4.25,0.1633,0.1511,0.1183,0.258,0.1942,0.1151,1507.37,1505.61,3.17,29.86,-1.5
11,Ryan Blaney,12,Team Penske,Team Penske,Ford,21,4.243,0.1471,0.1246,0.2418,0.1885,0.1255,0.1725,1514.23,1512.87,0.0,23.82,-0.5
12,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,32,4.11,0.0343,0.2741,0.1563,0.3057,0.1495,0.0801,1495.76,1493.92,-9.17,24.32,-11.5
13,Chris Buescher,17,RFK Racing,RFK Racing,Ford,4,4.041,0.0734,0.1585,0.236,0.2873,0.155,0.0897,1511.34,1509.94,-3.83,23.1,16.5
14,Austin Cindric,2,Team Penske,Team Penske,Ford,14,3.76,0.0544,0.1739,0.2281,0.2343,0.155,0.1542,1509.58,1508.21,-10.83,23.82,6.5
15,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,18,3.649,0.115,0.1364,0.1923,0.1439,0.1513,0.2611,1513.74,1512.37,-6.0,16.43,2.5
16,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,25,3.318,0.0609,0.0738,0.168,0.3808,0.2101,0.1064,1494.21,1493.19,5.33,22.23,-4.5
17,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,40,3.307,0.0976,0.1037,0.137,0.2046,0.306,0.1511,1504.83,1503.71,14.67,22.23,-19.5
18,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,15,3.272,0.0425,0.0961,0.1689,0.3831,0.1803,0.129,1501.65,1500.75,-8.33,20.79,5.5
19,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,6,3.188,0.0357,0.0898,0.2451,0.2477,0.2335,0.1481,1510.07,1508.63,5.0,17.0,14.5
20,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,5,3.142,0.0558,0.074,0.2605,0.2045,0.1491,0.2561,1492.94,1491.38,-2.67,18.09,15.5
21,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,11,3.085,0.0369,0.0867,0.1862,0.3083,0.2538,0.1282,1505.02,1503.7,14.0,23.67,9.5
22,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,8,2.878,0.0109,0.0895,0.1987,0.2852,0.2941,0.1216,1508.16,1506.77,-7.67,20.74,12.5
23,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,24,2.805,0.0295,0.0709,0.1623,0.3167,0.2521,0.1685,1503.07,1501.73,-1.83,20.32,-3.5
24,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,13,2.72,0.0211,0.0419,0.1726,0.3596,0.2735,0.1313,1496.61,1494.96,0.83,20.79,7.5
