ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,7.809,0.572,0.2037,0.0782,0.075,0.0479,0.0233,1509.07,1512.97,5.83,25.94,15.0
2,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,6,6.227,0.1573,0.4808,0.1769,0.1233,0.0341,0.0275,1516.37,1510.1,1.17,27.05,14.0
3,Ryan Blaney,12,Team Penske,Team Penske,Ford,2,5.994,0.3074,0.2248,0.1859,0.0968,0.1265,0.0586,1514.8,1513.68,7.83,23.77,18.0
4,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,5.873,0.1247,0.4595,0.1836,0.1474,0.0493,0.0355,1512.77,1502.78,-3.33,27.05,11.0
5,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,7,5.806,0.2053,0.2569,0.2896,0.1467,0.0666,0.0349,1509.98,1508.59,-3.33,25.94,13.0
6,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,16,5.445,0.0938,0.4336,0.1565,0.2179,0.0368,0.0615,1515.92,1491.68,-7.5,25.94,4.0
7,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,18,5.118,0.1798,0.205,0.2121,0.2389,0.1088,0.0556,1505.2,1510.07,-1.33,24.57,2.0
8,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,15,4.744,0.1688,0.1848,0.184,0.2186,0.1863,0.0574,1500.44,1515.49,-1.0,25.94,5.0
9,Austin Cindric,2,Team Penske,Team Penske,Ford,3,4.725,0.1236,0.2169,0.2155,0.239,0.1763,0.0286,1503.0,1512.43,-1.33,23.77,17.0
10,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,4,4.462,0.0732,0.2243,0.2377,0.2807,0.1292,0.0549,1511.84,1504.43,3.33,27.05,16.0
11,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,31,4.386,0.1394,0.2196,0.1308,0.2081,0.1761,0.126,1515.77,1508.32,2.0,27.05,-11.0
12,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,8,4.342,0.1385,0.1275,0.2393,0.2293,0.1799,0.0855,1511.72,1498.08,0.17,20.38,12.0
13,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,10,3.792,0.0836,0.0673,0.2672,0.3279,0.1649,0.089,1492.18,1510.93,-4.17,16.65,10.0
14,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,23,3.487,0.0798,0.1116,0.2264,0.1623,0.2901,0.13,1505.81,1515.53,7.0,20.71,-3.0
15,Ryan Preece,60,RFK Racing,RFK Racing,Ford,20,3.451,0.0443,0.1063,0.1824,0.3801,0.212,0.075,1508.48,1493.36,3.67,24.57,0.0
16,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,1,3.33,0.0358,0.119,0.2069,0.2781,0.2706,0.0897,1501.7,1501.97,-9.17,19.36,19.0
17,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,12,3.296,0.0238,0.081,0.1994,0.4198,0.234,0.042,1507.1,1506.52,-4.67,19.75,8.0
18,Joey Logano,22,Team Penske,Team Penske,Ford,22,3.282,0.0797,0.0966,0.1684,0.235,0.2617,0.1586,1514.18,1513.82,5.83,23.77,-2.0
19,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,13,3.239,0.034,0.073,0.2265,0.3489,0.2089,0.1087,1500.26,1503.49,11.5,21.52,7.0
20,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,14,3.125,0.0256,0.1047,0.1443,0.3776,0.2823,0.0656,1506.37,1494.03,-7.33,20.38,6.0
21,Chris Buescher,17,RFK Racing,RFK Racing,Ford,21,3.066,0.0241,0.0708,0.2176,0.3422,0.2144,0.1309,1509.84,1497.09,-3.5,24.57,-1.0
22,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,35,2.778,0.0763,0.0689,0.1267,0.1574,0.4271,0.1435,1493.31,1512.55,1.67,21.52,-15.0
