ep_rank,driver,car_number,team,expected_points
1,Austin Cindric,2,Team Penske,4.037
2,Chase Briscoe,19,Joe Gibbs Racing,3.916
3,Joey Logano,22,Team Penske,3.834
4,Chris Buescher,17,RFK Racing,3.679
5,William Byron,24,Hendrick Motorsports,3.537
