ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,6.651,0.5191,0.0774,0.1335,0.0631,0.0608,0.1461,1503.78,1513.18,-2.67,27.61,19.0
2,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,4,5.475,0.2771,0.1927,0.1603,0.1623,0.0674,0.1403,1509.73,1489.33,-2.0,25.74,17.0
3,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,20,5.169,0.3008,0.1539,0.1235,0.1214,0.1027,0.1978,1502.3,1512.0,8.0,27.61,1.0
4,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,12,4.725,0.1248,0.29,0.1613,0.1772,0.1097,0.137,1509.25,1509.14,0.83,27.61,9.0
5,Ryan Blaney,12,Team Penske,Team Penske,Ford,5,4.539,0.1877,0.2098,0.1246,0.157,0.0997,0.2213,1515.64,1501.44,-13.83,24.12,16.0
6,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,9,4.433,0.1389,0.1953,0.2144,0.1775,0.0722,0.2017,1514.7,1508.01,1.83,26.01,12.0
7,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,8,4.112,0.1343,0.0957,0.305,0.1659,0.0762,0.2228,1513.91,1497.43,1.83,25.74,13.0
8,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,39,3.728,0.0436,0.1687,0.2427,0.2349,0.1931,0.1169,1495.2,1498.51,-2.17,25.74,-18.0
9,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,10,3.55,0.1273,0.146,0.135,0.1524,0.1221,0.3171,1510.98,1503.92,-9.33,20.19,11.0
10,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,11,3.531,0.1518,0.078,0.1539,0.1771,0.1659,0.2734,1496.23,1505.77,9.5,20.32,10.0
11,Joey Logano,22,Team Penske,Team Penske,Ford,3,3.514,0.1194,0.1764,0.0918,0.1811,0.0829,0.3484,1513.58,1504.39,-23.17,24.12,18.0
12,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,1,3.463,0.1186,0.1403,0.1227,0.1821,0.1349,0.3015,1513.04,1502.31,-13.17,20.94,20.0
13,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,26,3.445,0.0617,0.1164,0.1928,0.2903,0.1779,0.1609,1499.04,1509.63,4.33,20.54,-5.0
14,Chris Buescher,17,RFK Racing,RFK Racing,Ford,41,3.435,0.0385,0.1506,0.2425,0.2048,0.1682,0.1954,1507.03,1495.96,-4.17,26.01,-20.0
15,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,18,3.422,0.0991,0.0901,0.1635,0.2679,0.1786,0.2008,1502.28,1512.86,-2.17,18.06,3.0
16,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,22,3.256,0.0279,0.2313,0.1134,0.2086,0.1652,0.2536,1511.89,1498.9,-11.83,27.61,-1.0
17,Shane van Gisbergen,97,Trackhouse Racing,Trackhouse Racing,Chevrolet,13,3.242,0.0234,0.1793,0.1408,0.2974,0.1571,0.202,1500.69,1508.28,3.33,22.54,8.0
18,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,37,3.173,0.0499,0.1381,0.1685,0.2077,0.2411,0.1947,1508.4,1506.56,-0.83,22.54,-16.0
19,Austin Cindric,2,Team Penske,Team Penske,Ford,36,3.144,0.0287,0.0903,0.1778,0.4001,0.136,0.1671,1493.31,1493.25,-17.33,24.12,-15.0
20,Cole Custer,41,Haas Factory Team,Haas Factory Team,Chevrolet,23,3.115,0.0738,0.0664,0.2029,0.2525,0.1411,0.2633,1499.76,1510.8,7.67,17.42,-2.0
21,Justin Allgaier,40,JR Motorsports,JR Motorsports,Chevrolet,40,3.078,0.1376,0.0812,0.0751,0.1891,0.1905,0.3266,1510.1,1509.5,1.33,27.66,-19.0
22,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,7,3.017,0.0201,0.1324,0.1964,0.2447,0.1731,0.2332,1503.11,1497.74,-7.17,20.94,14.0
23,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,27,2.966,0.0327,0.0826,0.2182,0.2636,0.1788,0.224,1491.56,1510.73,1.0,20.54,-6.0
24,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,21,2.936,0.046,0.0715,0.172,0.3098,0.1857,0.215,1506.41,1495.19,0.5,25.74,0.0
