ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,6.217,0.3337,0.2632,0.1028,0.1357,0.1166,0.048,1502.37,1512.01,-2.33,27.2,16.0
2,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,1,6.093,0.3229,0.23,0.16,0.1064,0.1343,0.0463,1503.63,1508.96,-5.17,25.96,18.0
3,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,7,5.487,0.2188,0.2879,0.1718,0.0904,0.1532,0.0778,1514.31,1515.27,0.0,27.2,12.0
4,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,9,4.956,0.216,0.1702,0.2033,0.138,0.1744,0.0981,1510.88,1498.01,-3.0,23.74,10.0
5,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,2,4.872,0.0746,0.3649,0.2026,0.1564,0.0883,0.1131,1509.55,1509.46,-1.83,25.96,17.0
6,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,12,4.829,0.2649,0.0957,0.1917,0.131,0.1594,0.1574,1505.47,1512.25,-2.67,17.56,7.0
7,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,5,4.805,0.0415,0.3865,0.1857,0.2046,0.1426,0.0391,1494.46,1496.68,-12.17,23.74,14.0
8,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,6,4.693,0.1781,0.1573,0.2425,0.1461,0.1606,0.1155,1501.2,1511.03,-8.0,19.12,13.0
9,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,11,4.559,0.0586,0.346,0.1881,0.1422,0.1842,0.0808,1512.63,1506.53,-10.5,24.1,8.0
10,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,15,4.549,0.1298,0.2426,0.1538,0.2061,0.1649,0.1027,1498.92,1514.04,-1.5,27.2,4.0
11,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,19,4.392,0.1164,0.1956,0.2478,0.1523,0.1628,0.125,1514.35,1514.13,-3.67,24.1,0.0
12,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,13,4.073,0.0905,0.2276,0.1115,0.2756,0.191,0.1038,1495.24,1493.67,-7.67,24.1,6.0
13,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,21,4.005,0.11,0.1741,0.1538,0.2154,0.2716,0.0751,1499.05,1491.32,-2.33,27.2,-2.0
14,Joey Logano,22,Team Penske,Team Penske,Ford,23,3.603,0.0724,0.1177,0.1863,0.2871,0.2631,0.0734,1508.95,1510.44,0.5,23.85,-4.0
15,Ryan Blaney,12,Team Penske,Team Penske,Ford,25,3.281,0.0518,0.0879,0.2035,0.2855,0.2729,0.0983,1512.48,1509.14,3.33,23.85,-6.0
16,Chris Buescher,17,RFK Racing,RFK Racing,Ford,24,3.251,0.0406,0.1121,0.2129,0.2153,0.3506,0.0686,1496.51,1504.71,13.17,25.09,-5.0
17,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,4,3.212,0.0344,0.1377,0.2068,0.2168,0.2204,0.184,1514.45,1507.63,3.0,20.86,15.0
18,Connor Zilisch,87,Trackhouse Racing,Trackhouse Racing,Chevrolet,14,3.211,0.0851,0.0622,0.1371,0.3436,0.2078,0.1642,1500.0,1500.0,0.0,23.74,5.0
19,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,8,3.186,0.0532,0.1123,0.1756,0.266,0.1915,0.2013,1510.7,1507.46,2.83,20.01,11.0
20,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,16,3.039,0.0524,0.088,0.1774,0.2492,0.2647,0.1684,1507.19,1506.37,-2.17,19.99,3.0
21,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,22,2.727,0.0195,0.0909,0.1264,0.3186,0.3076,0.137,1512.08,1504.79,4.67,22.85,-3.0
22,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,26,2.524,0.0125,0.0494,0.1056,0.3922,0.3488,0.0915,1492.06,1501.49,0.83,25.09,-7.0
23,Austin Cindric,2,Team Penske,Team Penske,Ford,36,2.488,0.0406,0.0718,0.1306,0.1692,0.4184,0.1693,1497.8,1513.47,0.83,23.85,-17.0
24,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,18,2.473,0.0225,0.0365,0.1128,0.3899,0.2592,0.1791,1502.2,1492.56,-0.83,20.81,1.0
25,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,29,2.473,0.027,0.0481,0.1471,0.2554,0.364,0.1584,1500.59,1499.1,-1.33,20.86,-10.0
26,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,10,2.294,0.0203,0.0399,0.1228,0.2823,0.3505,0.1843,1506.31,1503.61,8.33,19.29,9.0
27,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,17,2.29,0.0118,0.0461,0.072,0.3828,0.3417,0.1457,1494.68,1496.49,1.5,19.61,2.0
28,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,20,2.28,0.0169,0.0366,0.0909,0.3476,0.3574,0.1506,1508.74,1503.73,9.0,20.1,-1.0
29,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,27,2.231,0.0146,0.0325,0.1366,0.2541,0.4127,0.1495,1505.51,1495.3,-7.0,20.01,-8.0
30,Ryan Preece,60,RFK Racing,RFK Racing,Ford,28,2.057,0.0142,0.0441,0.0666,0.2692,0.4653,0.1405,1504.9,1500.15,6.0,21.06,-9.0
31,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,33,1.711,0.0097,0.026,0.0835,0.1391,0.5969,0.1448,1509.84,1494.37,-2.67,16.32,-14.0
32,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,32,1.682,0.0076,0.0196,0.0648,0.2063,0.525,0.1766,1496.01,1494.58,0.67,16.32,-13.0
33,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,30,1.654,0.0179,0.01,0.0471,0.2601,0.3893,0.2756,1493.19,1497.52,1.17,14.53,-11.0
34,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,34,1.641,0.0095,0.0263,0.0675,0.1474,0.5824,0.167,1496.39,1496.38,2.17,18.4,-15.0
35,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,35,1.618,0.0072,0.0265,0.0645,0.1522,0.5816,0.168,1500.14,1502.36,3.2,18.73,-16.0
36,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,37,1.561,0.007,0.0207,0.0515,0.1586,0.6133,0.149,1494.19,1499.74,6.17,15.19,-18.0
37,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,31,1.503,0.0077,0.0141,0.0353,0.2165,0.5009,0.2255,1504.09,1500.0,0.0,17.9,-12.0
