ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,6.497,0.3731,0.2677,0.1221,0.0823,0.0353,0.1196,1513.79,1507.07,7.67,26.75,16.5
2,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,5.544,0.1716,0.3252,0.2227,0.1348,0.0338,0.1119,1515.01,1494.44,-4.67,25.19,13.5
3,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,7,5.415,0.2427,0.2638,0.1654,0.0735,0.0948,0.1598,1511.06,1514.29,-4.0,22.24,11.5
4,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,18,5.341,0.2828,0.2091,0.08,0.1742,0.127,0.127,1492.23,1514.08,2.0,26.75,0.5
5,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,4,5.221,0.2519,0.1834,0.1914,0.121,0.0979,0.1544,1513.41,1511.19,-0.5,22.24,14.5
6,Ryan Blaney,12,Team Penske,Team Penske,Ford,6,5.087,0.1487,0.2809,0.238,0.1226,0.0766,0.1333,1516.99,1508.97,2.17,23.82,12.5
7,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,1,4.987,0.1622,0.2496,0.1784,0.2156,0.0792,0.115,1515.81,1501.77,0.0,26.75,17.5
8,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,9,4.739,0.0434,0.394,0.1769,0.1896,0.0932,0.1029,1512.56,1497.02,-11.5,25.19,9.5
9,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,15,4.531,0.1473,0.1836,0.1837,0.2464,0.1158,0.1233,1501.26,1509.6,3.17,25.19,3.5
10,Ryan Preece,60,RFK Racing,RFK Racing,Ford,8,4.495,0.1447,0.1511,0.2392,0.2206,0.133,0.1114,1508.48,1509.99,11.0,26.88,10.5
