ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,8,6.48,0.4506,0.1395,0.1201,0.0876,0.1334,0.0687,1502.54,1512.86,8.67,26.94,11.0
2,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,2,5.787,0.2667,0.3099,0.107,0.0924,0.1377,0.0862,1515.74,1501.33,-6.83,22.34,17.0
3,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,6,5.752,0.3579,0.0935,0.2368,0.0816,0.0902,0.1401,1504.47,1512.96,-4.33,20.71,13.0
4,Shane van Gisbergen,97,Trackhouse Racing,Trackhouse Racing,Chevrolet,13,5.4,0.2683,0.2435,0.0871,0.1351,0.1712,0.0947,1512.54,1514.07,0.33,22.34,6.0
5,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,5.296,0.1986,0.2428,0.1875,0.1908,0.0997,0.0806,1514.87,1506.18,-1.67,26.94,16.0
6,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,4.901,0.1549,0.2333,0.2046,0.1882,0.1312,0.0878,1509.29,1510.81,7.0,25.01,14.0
7,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,7,4.836,0.2021,0.1394,0.2695,0.1204,0.1304,0.1382,1509.48,1510.1,-3.17,18.26,12.0
8,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,4.538,0.0821,0.2719,0.2102,0.195,0.178,0.0628,1493.23,1508.17,-8.33,26.94,10.0
9,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,1,4.495,0.1469,0.2299,0.1855,0.1018,0.184,0.1519,1515.78,1508.76,1.0,21.64,18.0
10,Chris Buescher,17,RFK Racing,RFK Racing,Ford,14,4.384,0.1876,0.1045,0.1886,0.2003,0.2334,0.0856,1507.2,1512.52,3.5,26.99,5.0
