ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,6.229,0.3692,0.2111,0.1275,0.09,0.1514,0.0508,1505.54,1512.04,9.0,27.14,11.0
2,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,6.104,0.4045,0.1484,0.1211,0.1059,0.0964,0.1237,1515.55,1513.68,-1.17,27.14,17.0
3,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,20,5.462,0.305,0.1734,0.1222,0.143,0.1576,0.0989,1507.13,1513.47,6.33,27.55,0.0
4,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,14,5.316,0.2118,0.2608,0.1598,0.1469,0.1334,0.0874,1503.14,1510.62,-7.5,27.14,6.0
5,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,4,5.232,0.3292,0.0964,0.1435,0.1361,0.1401,0.1548,1508.85,1499.4,-6.5,20.68,16.0
6,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,2,5.123,0.2503,0.2238,0.1115,0.1006,0.1942,0.1196,1495.76,1514.5,-0.83,20.68,18.0
7,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,7,4.92,0.1608,0.2554,0.1853,0.1503,0.1476,0.1007,1511.82,1503.15,-0.83,27.55,13.0
8,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,10,4.785,0.1736,0.1671,0.2639,0.1566,0.0898,0.1489,1515.29,1510.41,1.33,27.55,10.0
9,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,5,4.586,0.1413,0.1972,0.2487,0.1309,0.1563,0.1256,1502.91,1509.29,-5.67,21.88,15.0
10,Ryan Blaney,12,Team Penske,Team Penske,Ford,1,4.512,0.1428,0.1697,0.203,0.2299,0.1913,0.0633,1513.18,1492.25,-3.0,23.59,19.0
11,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,21,4.41,0.1497,0.1628,0.1858,0.2194,0.1863,0.0961,1503.72,1510.92,-2.83,21.8,-1.0
12,Chris Buescher,17,RFK Racing,RFK Racing,Ford,12,4.371,0.116,0.2357,0.1718,0.1477,0.2594,0.0695,1501.38,1506.0,7.67,24.02,8.0
13,Joey Logano,22,Team Penske,Team Penske,Ford,11,4.319,0.059,0.2131,0.2615,0.2606,0.1481,0.0578,1510.87,1509.82,-1.83,23.59,9.0
14,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,6,4.277,0.2098,0.087,0.2254,0.1038,0.1312,0.2428,1498.26,1513.35,-0.83,19.41,14.0
15,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,26,3.949,0.055,0.2386,0.1819,0.1831,0.2701,0.0713,1497.71,1492.17,-10.83,27.55,-6.0
16,Ryan Preece,60,RFK Racing,RFK Racing,Ford,17,3.48,0.0726,0.1081,0.178,0.2961,0.2191,0.1261,1512.97,1507.85,1.83,24.02,3.0
17,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,18,3.476,0.0751,0.1354,0.1432,0.2655,0.2654,0.1155,1504.54,1503.95,-9.83,18.76,2.0
18,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,22,3.462,0.0597,0.1239,0.1754,0.2868,0.2604,0.0938,1500.23,1502.17,1.0,27.14,-2.0
