ep_rank,driver,car_number,team,expected_points
1,Ryan Blaney,12,Team Penske,5.764
2,Chase Briscoe,19,Joe Gibbs Racing,5.098
3,William Byron,24,Hendrick Motorsports,5.066
4,Denny Hamlin,11,Joe Gibbs Racing,5.007
5,Joey Logano,22,Team Penske,4.776
