ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,1,6.573,0.3625,0.3162,0.1019,0.0609,0.0414,0.1171,1516.02,1514.61,-7.5,25.86,18.0
2,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,31,5.709,0.1897,0.4229,0.077,0.1282,0.0819,0.1003,1510.06,1496.06,-9.0,28.57,-12.0
3,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,6,5.413,0.1642,0.3558,0.1509,0.1457,0.0889,0.0945,1512.4,1500.37,-9.0,25.86,13.0
4,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,18,5.12,0.2245,0.1726,0.2016,0.1869,0.0981,0.1163,1514.48,1505.42,4.67,28.57,1.0
5,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,24,4.907,0.0954,0.3733,0.1407,0.1863,0.0777,0.1266,1492.19,1511.94,-5.5,28.57,-5.0
6,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,8,4.764,0.087,0.3203,0.2131,0.1639,0.0944,0.1212,1502.75,1506.17,-5.67,23.11,11.0
7,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,34,4.606,0.079,0.3398,0.1702,0.1388,0.1698,0.1023,1508.86,1512.36,-8.33,23.11,-15.0
8,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,7,4.545,0.0308,0.3865,0.1687,0.1947,0.1036,0.1156,1509.88,1514.7,-9.67,25.86,12.0
9,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,4.119,0.1037,0.1596,0.2303,0.2326,0.1156,0.1582,1514.87,1505.09,5.0,25.86,10.0
10,Chris Buescher,17,RFK Racing,RFK Racing,Ford,2,3.947,0.1167,0.1396,0.1993,0.1925,0.229,0.123,1511.21,1514.48,-3.67,23.25,17.0
11,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,21,3.866,0.1026,0.1302,0.2017,0.2383,0.2049,0.1223,1505.62,1511.27,17.0,22.45,-2.0
12,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,25,3.844,0.0847,0.1659,0.2032,0.2351,0.1141,0.197,1514.62,1490.89,-10.33,28.57,-6.0
13,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,14,3.782,0.0719,0.0546,0.3376,0.2832,0.1429,0.1098,1500.49,1510.03,3.0,23.25,5.0
14,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,3,3.684,0.1099,0.0856,0.1753,0.3302,0.1182,0.1808,1493.88,1495.88,-5.33,20.07,16.0
15,Joey Logano,22,Team Penske,Team Penske,Ford,12,3.681,0.0611,0.1415,0.2323,0.2426,0.1908,0.1318,1501.95,1499.87,4.0,23.99,7.0
16,Austin Cindric,2,Team Penske,Team Penske,Ford,19,3.574,0.0255,0.1804,0.1881,0.2997,0.2168,0.0896,1505.88,1495.22,-10.67,23.99,0.0
17,Ryan Blaney,12,Team Penske,Team Penske,Ford,20,3.571,0.0529,0.1438,0.2353,0.2404,0.1384,0.1893,1508.09,1493.46,1.67,23.99,-1.0
18,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,26,3.285,0.0246,0.0667,0.2951,0.3059,0.1792,0.1285,1491.94,1509.95,5.67,20.51,-7.0
19,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,11,3.255,0.0324,0.1325,0.2007,0.2564,0.2305,0.1475,1505.33,1508.18,7.0,17.74,8.0
20,Ryan Preece,60,RFK Racing,RFK Racing,Ford,13,3.22,0.0415,0.1166,0.1495,0.3284,0.2564,0.1076,1506.96,1509.67,4.5,23.25,6.0
21,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,28,3.008,0.0223,0.0801,0.205,0.3441,0.1667,0.1817,1513.79,1496.27,-9.17,20.07,-9.0
22,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,10,2.997,0.0427,0.0702,0.1622,0.3437,0.2367,0.1446,1503.55,1505.93,5.0,22.45,9.0
23,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,4,2.97,0.0424,0.0765,0.2043,0.2391,0.2715,0.1663,1512.78,1492.77,-0.17,17.74,15.0
24,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,35,2.703,0.0235,0.1454,0.1072,0.1632,0.424,0.1367,1499.67,1509.03,-2.33,16.55,-16.0
25,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,23,2.701,0.0288,0.0728,0.1299,0.3369,0.2427,0.1888,1515.84,1505.16,11.17,22.45,-4.0
26,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,16,2.675,0.0203,0.0666,0.1134,0.378,0.3048,0.1168,1498.62,1503.39,2.83,20.51,3.0
27,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,15,2.649,0.0184,0.0642,0.1103,0.4075,0.242,0.1576,1493.53,1510.84,0.5,19.3,4.0
28,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,5,2.555,0.0178,0.0421,0.1754,0.284,0.3535,0.1271,1512.99,1492.44,3.83,16.62,14.0
