ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,5,5.77,0.2997,0.2254,0.1688,0.0839,0.0991,0.123,1512.88,1508.18,13.83,26.7,14.5
2,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,4,5.694,0.3284,0.1598,0.1717,0.1228,0.0647,0.1526,1514.5,1504.46,6.67,25.46,15.5
3,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,34,5.579,0.2189,0.3371,0.0702,0.1874,0.1167,0.0697,1494.79,1512.22,-7.5,26.48,-14.5
4,Joey Logano,22,Team Penske,Team Penske,Ford,2,5.343,0.2379,0.2055,0.1786,0.1764,0.1042,0.0975,1514.15,1512.48,-5.5,24.29,17.5
5,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,1,5.18,0.2787,0.1122,0.1716,0.2268,0.0688,0.1418,1515.81,1511.13,-0.83,21.07,18.5
6,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,13,4.947,0.1234,0.334,0.1519,0.1743,0.0921,0.1243,1508.98,1491.81,-12.17,25.46,6.5
7,Ryan Blaney,12,Team Penske,Team Penske,Ford,22,4.571,0.0701,0.3124,0.1793,0.2193,0.129,0.0899,1500.04,1490.86,-6.0,24.29,-2.5
8,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,16,4.547,0.1845,0.1186,0.238,0.1704,0.1706,0.118,1506.1,1513.87,-3.0,25.46,3.5
9,Chris Buescher,17,RFK Racing,RFK Racing,Ford,7,4.335,0.1423,0.131,0.2341,0.223,0.1553,0.1142,1512.4,1507.13,0.5,26.7,12.5
10,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,29,4.33,0.1255,0.2374,0.1696,0.1462,0.1267,0.1946,1497.5,1514.9,5.33,26.48,-9.5
11,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,32,4.07,0.0959,0.1754,0.2116,0.2099,0.1957,0.1114,1496.06,1513.46,-2.17,26.48,-12.5
12,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,14,3.701,0.0557,0.1704,0.1411,0.3707,0.1334,0.1287,1507.02,1510.63,7.33,21.0,5.5
