ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,6.469
2,Chase Elliott,9,Hendrick Motorsports,6.217
3,Brad Keselowski,6,RFK Racing,6.038
4,Christopher Bell,20,Joe Gibbs Racing,5.846
5,William Byron,24,Hendrick Motorsports,5.355
