ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Austin Cindric,2,Team Penske,Team Penske,Ford,4,5.01,0.2042,0.224,0.1508,0.1695,0.1381,0.1134,1509.11,1489.51,-15.83,24.29,16.5
2,Ryan Blaney,12,Team Penske,Team Penske,Ford,8,4.879,0.0978,0.3598,0.1721,0.1334,0.1217,0.1152,1491.93,1514.99,-11.17,24.29,12.5
3,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,4.81,0.1364,0.2859,0.1944,0.1329,0.0749,0.1756,1513.63,1499.72,-0.5,28.06,18.5
4,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,7,4.632,0.107,0.268,0.2554,0.1115,0.0755,0.1827,1514.32,1506.74,-3.67,28.06,13.5
5,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,19,4.631,0.2181,0.0951,0.2236,0.199,0.0701,0.1942,1515.44,1510.34,5.83,25.9,1.5
6,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,13,4.553,0.1287,0.2208,0.1635,0.2708,0.0905,0.1257,1493.26,1501.58,0.83,25.9,7.5
7,Chris Buescher,17,RFK Racing,RFK Racing,Ford,14,4.401,0.1217,0.1502,0.2631,0.2424,0.09,0.1326,1509.08,1509.48,-4.33,25.05,6.5
8,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,17,4.289,0.1054,0.2785,0.1309,0.1795,0.0924,0.2132,1515.92,1498.28,-13.0,28.06,3.5
9,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,18,4.132,0.0786,0.2075,0.237,0.1917,0.1329,0.1522,1495.11,1508.38,4.33,28.06,2.5
10,Ryan Preece,60,RFK Racing,RFK Racing,Ford,5,4.071,0.0897,0.179,0.2278,0.2257,0.1052,0.1726,1510.14,1506.71,-12.83,25.05,15.5
11,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,25,3.88,0.1133,0.149,0.1545,0.2604,0.1507,0.1722,1505.17,1507.73,-0.5,25.9,-4.5
12,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,6,3.76,0.1007,0.1326,0.2081,0.2064,0.1656,0.1866,1499.66,1510.0,-8.17,16.57,14.5
13,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,11,3.627,0.1015,0.11,0.1972,0.2496,0.1082,0.2336,1511.45,1491.47,4.67,25.9,9.5
14,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,1,3.422,0.131,0.1351,0.1055,0.1613,0.1549,0.3122,1505.9,1505.17,-11.67,20.11,19.5
15,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,26,3.414,0.1527,0.0459,0.139,0.2243,0.197,0.241,1503.44,1511.92,5.67,21.96,-5.5
16,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,12,3.322,0.1001,0.0636,0.2222,0.2046,0.1504,0.259,1497.72,1510.25,6.5,16.7,8.5
17,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,10,3.304,0.0896,0.1455,0.1387,0.1762,0.1677,0.2824,1502.12,1491.1,-3.67,20.74,10.5
18,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,20,3.273,0.0674,0.1111,0.1472,0.3019,0.1803,0.1921,1509.73,1503.14,3.5,25.05,0.5
19,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,22,3.246,0.1384,0.0567,0.1671,0.1579,0.1558,0.3241,1498.01,1513.89,14.5,20.11,-1.5
20,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,3,3.2,0.0565,0.1436,0.133,0.2547,0.2004,0.2117,1510.05,1494.94,-14.33,20.26,17.5
21,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,9,3.175,0.1222,0.0392,0.1407,0.275,0.1498,0.2731,1505.24,1490.3,-3.67,20.74,11.5
22,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,31,3.169,0.0576,0.0785,0.2084,0.2574,0.2288,0.1693,1495.11,1506.49,-1.83,21.96,-10.5
23,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,15,3.1,0.0891,0.0708,0.1609,0.2751,0.0832,0.3209,1513.36,1500.45,5.83,20.74,5.5
24,Joey Logano,22,Team Penske,Team Penske,Ford,16,2.979,0.0374,0.166,0.1468,0.2069,0.0894,0.3536,1512.53,1498.26,-25.17,24.29,4.5
25,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,30,2.92,0.0508,0.0786,0.1889,0.219,0.2596,0.203,1506.17,1511.36,11.67,20.32,-9.5
26,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,21,2.766,0.0186,0.0846,0.1335,0.3663,0.222,0.1751,1499.69,1497.72,-10.33,20.26,-0.5
27,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,27,2.72,0.0205,0.0807,0.1773,0.2716,0.2486,0.2013,1502.41,1507.4,-7.17,18.19,-6.5
28,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,24,2.527,0.0324,0.0914,0.0903,0.2935,0.2318,0.2607,1501.48,1504.75,0.5,21.96,-3.5
29,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,37,2.338,0.072,0.0456,0.1299,0.1334,0.2487,0.3704,1507.85,1490.96,14.67,18.52,-16.5
30,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,28,2.296,0.0272,0.0494,0.1214,0.2409,0.3479,0.2132,1497.04,1503.95,5.0,20.32,-7.5
31,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,34,2.261,0.0264,0.0354,0.0947,0.3309,0.2829,0.2298,1503.98,1498.29,-1.33,18.82,-13.5
32,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,32,2.155,0.0203,0.0216,0.0974,0.3351,0.3084,0.2172,1494.76,1492.78,12.33,20.11,-11.5
33,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,36,2.151,0.0423,0.0214,0.125,0.1946,0.3695,0.2472,1507.88,1489.81,4.83,18.19,-15.5
34,Anthony Alfredo,62,Beard Motorsports,Beard Motorsports,Chevrolet,38,2.091,0.0411,0.0227,0.1156,0.1977,0.3501,0.2728,1499.32,1495.91,11.33,14.86,-17.5
35,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,23,2.083,0.0108,0.0357,0.0596,0.378,0.2924,0.2234,1500.18,1494.7,0.17,18.19,-2.5
36,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,29,2.079,0.0342,0.0247,0.1017,0.2533,0.2952,0.2909,1492.24,1500.72,5.83,18.82,-8.5
37,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,35,1.644,0.0189,0.0226,0.0497,0.2082,0.4237,0.277,1492.24,1502.47,13.5,13.09,-14.5
38,Austin Hill,33,Richard Childress Racing,Richard Childress Racing,Chevrolet,33,1.561,0.0078,0.0124,0.0424,0.2494,0.4356,0.2524,1500.87,1497.5,5.75,20.26,-12.5
39,B.J. McLeod,78,Live Fast Motorsports,Live Fast Motorsports,Chevrolet,39,1.241,0.0083,0.014,0.0461,0.126,0.4521,0.3535,1497.82,1494.65,9.83,11.12,-18.5
40,Casey Mears,66,Garage 66,Garage 66,Ford,40,1.04,0.0067,0.0129,0.0247,0.0511,0.6059,0.2987,1497.8,1496.37,10.0,7.57,-19.5
