ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,6.598,0.3288,0.3057,0.1481,0.1252,0.0541,0.0381,1512.63,1510.77,0.83,26.32,16.0
2,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,13,6.335,0.3502,0.2252,0.1676,0.1179,0.0644,0.0746,1502.22,1514.52,8.83,26.32,6.0
3,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,1,5.959,0.1627,0.4338,0.1895,0.0943,0.0655,0.0543,1514.93,1505.94,0.67,27.16,18.0
4,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,5.719,0.159,0.3633,0.202,0.1677,0.0738,0.0343,1510.63,1511.17,-1.5,27.16,14.0
5,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,4,5.227,0.1698,0.2614,0.219,0.1651,0.1086,0.0761,1512.47,1503.75,-1.83,21.7,15.0
6,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,5.1,0.0789,0.3993,0.2231,0.1058,0.0834,0.1096,1514.39,1513.65,-4.0,26.32,17.0
7,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,25,5.001,0.2162,0.2125,0.1352,0.1574,0.2033,0.0754,1493.13,1514.9,3.67,27.16,-6.0
8,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,4.896,0.0784,0.3276,0.2274,0.2015,0.0774,0.0877,1511.28,1513.91,-8.5,26.32,10.0
9,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,16,4.666,0.1005,0.2611,0.1712,0.283,0.1281,0.056,1503.72,1493.83,-7.83,27.16,3.0
10,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,15,4.255,0.0888,0.1972,0.1897,0.2814,0.1941,0.0488,1509.2,1506.14,1.0,23.2,4.0
