ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,4,6.425,0.3583,0.2749,0.1274,0.0745,0.0575,0.1074,1508.46,1512.49,-6.33,21.94,16.0
2,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,6,6.055,0.2385,0.4039,0.0825,0.1114,0.0961,0.0676,1495.97,1492.53,-9.5,27.14,14.0
3,Austin Cindric,2,Team Penske,Team Penske,Ford,10,5.128,0.1482,0.3205,0.1489,0.1893,0.0897,0.1034,1504.69,1492.08,-10.33,23.39,10.0
4,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,13,4.98,0.1263,0.3479,0.1503,0.1619,0.0446,0.169,1514.43,1505.01,-0.67,27.14,7.0
5,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,2,4.915,0.203,0.2068,0.1584,0.1774,0.1124,0.142,1511.16,1502.1,-1.67,21.94,18.0
6,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,1,4.858,0.1162,0.3544,0.1426,0.1345,0.0989,0.1534,1515.03,1494.13,-7.5,26.94,19.0
7,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,5,4.816,0.1332,0.2598,0.2221,0.1448,0.1199,0.1201,1512.59,1505.97,-8.0,26.94,15.0
8,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,30,4.802,0.1545,0.2925,0.1448,0.1138,0.1436,0.1509,1511.58,1515.02,5.83,27.14,-10.0
9,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,14,4.578,0.2291,0.1204,0.1647,0.1602,0.1392,0.1863,1509.18,1514.15,6.33,23.43,6.0
10,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,16,4.262,0.1465,0.1358,0.1725,0.2817,0.1393,0.1242,1503.96,1497.1,-0.17,26.94,4.0
11,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,39,4.223,0.0517,0.2569,0.2298,0.2255,0.0816,0.1544,1515.52,1496.76,-2.67,26.94,-19.0
12,Chris Buescher,17,RFK Racing,RFK Racing,Ford,7,4.121,0.0504,0.1951,0.2849,0.2264,0.1472,0.0959,1509.22,1510.62,-3.67,23.43,13.0
13,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,3,3.978,0.0871,0.1748,0.2021,0.2222,0.2066,0.1072,1497.96,1512.32,5.83,18.5,17.0
14,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,8,3.762,0.0996,0.0995,0.2527,0.2347,0.1018,0.2116,1492.76,1508.73,2.5,19.43,12.0
15,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,21,3.704,0.1019,0.1219,0.231,0.1799,0.137,0.2283,1514.36,1513.63,-2.67,27.14,-1.0
16,Joey Logano,22,Team Penske,Team Penske,Ford,15,3.625,0.0354,0.1991,0.1711,0.2595,0.243,0.0918,1506.92,1492.99,-7.67,23.39,5.0
17,Ryan Blaney,12,Team Penske,Team Penske,Ford,24,3.499,0.0264,0.2277,0.1303,0.2851,0.1334,0.197,1511.23,1491.4,-5.83,23.39,-4.0
18,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,9,3.366,0.0188,0.1364,0.197,0.3461,0.2006,0.1012,1491.12,1508.26,2.67,18.51,11.0
