ep_rank,driver,car_number,team,expected_points
1,Chase Elliott,9,Hendrick Motorsports,4.356
2,Ryan Blaney,12,Team Penske,4.323
3,Kyle Larson,5,Hendrick Motorsports,4.167
4,Denny Hamlin,11,Joe Gibbs Racing,4.032
5,Daniel Suarez,7,Spire Motorsports,3.753
