ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,4.843
2,Tyler Reddick,45,23XI Racing,4.648
3,Kyle Larson,5,Hendrick Motorsports,4.374
4,Chase Briscoe,19,Joe Gibbs Racing,3.997
5,Ty Gibbs,54,Joe Gibbs Racing,3.947
