ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,13,4.952,0.0801,0.4254,0.1514,0.1163,0.0662,0.1605,1515.34,1498.84,-8.83,26.43,7.0
2,Chris Buescher,17,RFK Racing,RFK Racing,Ford,6,4.916,0.1622,0.2259,0.2383,0.1365,0.1122,0.125,1500.87,1507.94,-1.5,24.59,14.0
3,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,16,4.719,0.2664,0.0775,0.172,0.1802,0.112,0.1919,1512.73,1513.09,4.33,28.91,4.0
4,Austin Cindric,2,Team Penske,Team Penske,Ford,7,4.675,0.1205,0.234,0.2297,0.1835,0.1328,0.0995,1504.73,1509.98,-13.5,24.24,13.0
5,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,18,4.671,0.1932,0.165,0.1759,0.2066,0.0849,0.1744,1493.61,1510.11,8.0,28.91,2.0
6,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,17,4.558,0.1625,0.205,0.1828,0.1615,0.0999,0.1882,1514.01,1511.74,1.5,26.43,3.0
7,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,11,4.523,0.0752,0.3363,0.1548,0.1733,0.1231,0.1373,1511.03,1495.62,0.33,26.43,9.0
8,Ryan Blaney,12,Team Penske,Team Penske,Ford,9,4.455,0.0959,0.2138,0.2626,0.2031,0.0772,0.1473,1513.72,1509.89,-4.67,24.24,11.0
9,Ryan Preece,60,RFK Racing,RFK Racing,Ford,4,4.234,0.0677,0.2787,0.1813,0.1913,0.1257,0.1552,1503.79,1496.21,-7.83,24.59,16.0
10,Joey Logano,22,Team Penske,Team Penske,Ford,3,4.159,0.0889,0.2697,0.1027,0.2486,0.1226,0.1675,1501.16,1494.34,-24.17,24.24,17.0
11,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,26,4.063,0.1143,0.1883,0.1528,0.2298,0.1483,0.1665,1505.18,1511.87,-2.0,24.9,-6.0
12,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,30,3.755,0.1212,0.1593,0.1302,0.2041,0.164,0.2212,1506.93,1505.6,-6.83,28.91,-10.0
13,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,20,3.658,0.0493,0.1914,0.1853,0.2401,0.1779,0.1559,1503.76,1496.47,-2.33,24.9,0.0
14,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,22,3.533,0.0824,0.1126,0.1665,0.2989,0.1916,0.1481,1505.95,1498.17,-0.17,24.59,-2.0
15,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,2,3.515,0.1196,0.1181,0.1155,0.2435,0.1842,0.2192,1506.77,1493.45,-3.33,20.04,18.0
16,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,25,3.462,0.1393,0.0965,0.0988,0.2646,0.1067,0.2942,1516.05,1501.38,1.67,28.91,-5.0
17,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,10,3.196,0.0261,0.2188,0.1178,0.2307,0.1216,0.2849,1514.09,1504.34,1.5,26.43,10.0
18,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,32,3.136,0.053,0.141,0.1543,0.2204,0.1863,0.2451,1511.79,1490.44,-3.0,22.2,-12.0
19,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,14,3.111,0.0248,0.1647,0.1605,0.2542,0.1447,0.2511,1497.5,1507.32,-19.67,20.86,6.0
20,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,15,3.096,0.0303,0.0809,0.1964,0.3743,0.1224,0.1958,1493.24,1497.64,-9.67,20.27,5.0
21,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,5,3.013,0.0435,0.1066,0.1778,0.2445,0.2105,0.2172,1509.43,1499.56,-10.5,20.04,15.0
22,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,19,2.857,0.0524,0.1088,0.0813,0.3209,0.2016,0.2349,1510.82,1490.63,-3.33,18.59,1.0
23,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,1,2.665,0.0312,0.0901,0.1003,0.3059,0.3032,0.1693,1498.92,1491.97,6.0,20.27,19.0
24,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,8,2.654,0.0231,0.0692,0.1564,0.3055,0.2398,0.206,1508.98,1492.1,-3.5,16.27,12.0
25,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,35,2.651,0.0381,0.0996,0.152,0.1654,0.3167,0.2282,1502.02,1502.61,15.33,22.0,-15.0
26,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,23,2.556,0.049,0.0657,0.115,0.2611,0.2482,0.261,1498.87,1503.14,4.67,24.9,-3.0
27,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,29,2.483,0.0583,0.0486,0.1442,0.1887,0.2735,0.2868,1503.47,1512.3,5.33,16.36,-9.0
28,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,21,2.464,0.0231,0.0722,0.1192,0.2878,0.268,0.2297,1495.97,1507.06,6.67,18.59,-1.0
29,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,36,2.459,0.0574,0.0416,0.1063,0.2712,0.2486,0.2749,1492.86,1494.75,-4.75,22.2,-16.0
30,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,24,2.455,0.0298,0.0432,0.1303,0.3153,0.2565,0.2249,1495.96,1506.16,1.0,22.2,-4.0
31,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,34,2.448,0.0387,0.0687,0.1577,0.1512,0.3375,0.2462,1499.48,1506.81,6.0,16.36,-14.0
32,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,27,2.373,0.032,0.0231,0.1355,0.3141,0.2719,0.2234,1501.4,1497.03,6.5,20.27,-7.0
33,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,37,2.232,0.0218,0.0504,0.1581,0.1939,0.2898,0.286,1507.44,1502.47,10.17,20.86,-17.0
34,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,12,2.144,0.0657,0.0229,0.0649,0.249,0.2556,0.342,1498.07,1500.62,6.83,13.22,8.0
35,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,28,1.908,0.0112,0.0176,0.1218,0.2338,0.362,0.2536,1508.99,1495.7,7.0,20.86,-8.0
36,Anthony Alfredo,62,Beard Motorsports,Beard Motorsports,Chevrolet,31,1.809,0.0104,0.0131,0.0579,0.2964,0.4349,0.1873,1501.18,1499.5,13.83,14.28,-11.0
37,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,33,1.535,0.0085,0.015,0.0278,0.2346,0.5016,0.2123,1494.12,1498.75,15.0,14.65,-13.0
38,B.J. McLeod,78,Live Fast Motorsports,Live Fast Motorsports,Chevrolet,38,1.353,0.014,0.0192,0.0439,0.1051,0.5444,0.2734,1502.3,1501.32,13.67,8.51,-18.0
39,J.J. Yeley,44,NY Racing Team,NY Racing Team,Chevrolet,39,1.198,0.0081,0.0192,0.0285,0.1125,0.5025,0.3293,1491.8,1497.69,10.5,8.0,-19.0
