ep_rank,driver,car_number,team,expected_points
1,Ryan Blaney,12,Team Penske,5.534
2,Joey Logano,22,Team Penske,5.479
3,Brad Keselowski,6,RFK Racing,5.323
4,Ty Gibbs,54,Joe Gibbs Racing,4.483
5,Christopher Bell,20,Joe Gibbs Racing,4.171
