ep_rank,driver,car_number,team,expected_points
1,Ryan Blaney,12,Team Penske,5.457
2,Ty Gibbs,54,Joe Gibbs Racing,5.322
3,Denny Hamlin,11,Joe Gibbs Racing,5.252
4,Christopher Bell,20,Joe Gibbs Racing,5.007
5,Joey Logano,22,Team Penske,4.602
