ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,6.825,0.3569,0.2902,0.1783,0.0969,0.042,0.0356,1512.64,1513.57,0.0,25.85,16.5
2,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,2,6.646,0.1575,0.6144,0.1145,0.0567,0.0273,0.0296,1515.95,1515.22,-4.33,25.85,17.5
3,Ryan Blaney,12,Team Penske,Team Penske,Ford,5,6.302,0.2072,0.4085,0.2064,0.0965,0.0492,0.0322,1515.02,1514.85,11.67,24.09,14.5
4,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,17,5.842,0.3182,0.1611,0.1889,0.1707,0.0758,0.0853,1514.29,1514.07,-6.5,25.85,2.5
5,Joey Logano,22,Team Penske,Team Penske,Ford,10,5.824,0.239,0.2614,0.2138,0.1461,0.0974,0.0424,1511.01,1510.4,7.17,24.09,9.5
6,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,1,5.791,0.1061,0.4831,0.1519,0.1775,0.056,0.0254,1493.11,1493.1,-10.83,27.77,18.5
7,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,12,5.207,0.0715,0.358,0.2792,0.1682,0.0847,0.0384,1491.46,1491.38,1.17,27.77,7.5
8,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,20,5.153,0.1865,0.2393,0.1511,0.2601,0.0764,0.0865,1511.86,1511.82,-0.33,27.77,-0.5
9,Chris Buescher,17,RFK Racing,RFK Racing,Ford,9,4.474,0.0721,0.2093,0.2403,0.3248,0.1125,0.041,1496.01,1497.46,-0.5,25.31,10.5
10,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,8,4.444,0.1107,0.1349,0.246,0.3472,0.1214,0.0398,1500.58,1500.78,3.67,25.85,11.5
