ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,5.567
2,Kyle Larson,5,Hendrick Motorsports,4.741
3,Tyler Reddick,45,23XI Racing,4.45
4,Christopher Bell,20,Joe Gibbs Racing,4.38
5,Ty Gibbs,54,Joe Gibbs Racing,4.35
