ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,15,5.986,0.3236,0.1748,0.2094,0.1446,0.0449,0.1026,1514.6,1511.45,8.17,24.91,3.5
2,Joey Logano,22,Team Penske,Team Penske,Ford,2,5.26,0.2062,0.2341,0.199,0.154,0.1025,0.1042,1507.6,1508.63,1.83,24.27,16.5
3,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,13,5.208,0.1465,0.3907,0.1311,0.1028,0.044,0.1849,1515.62,1515.08,8.5,24.91,5.5
4,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,10,5.109,0.1911,0.2574,0.2091,0.1047,0.0361,0.2016,1514.96,1513.22,-8.17,27.89,8.5
5,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,16,5.106,0.2699,0.1467,0.1353,0.1844,0.1509,0.1129,1508.99,1501.62,5.33,27.89,2.5
6,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,8,5.08,0.1201,0.3452,0.171,0.1602,0.1274,0.0762,1512.2,1497.81,-0.83,27.89,10.5
7,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,4,5.046,0.2139,0.1885,0.2185,0.1356,0.0888,0.1548,1510.65,1511.64,-0.17,20.1,14.5
8,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,14,4.843,0.0861,0.3688,0.1391,0.2024,0.0972,0.1064,1502.93,1502.51,-7.0,25.77,4.5
9,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,6,4.784,0.1869,0.1358,0.2663,0.1667,0.1324,0.1118,1511.68,1498.99,1.5,27.89,12.5
10,Austin Cindric,2,Team Penske,Team Penske,Ford,3,4.518,0.0851,0.2664,0.2077,0.1999,0.1636,0.0773,1504.46,1498.07,-10.67,24.27,15.5
11,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,19,4.504,0.1391,0.1899,0.2144,0.1975,0.1197,0.1394,1508.19,1510.66,9.17,22.9,-0.5
12,Ryan Blaney,12,Team Penske,Team Penske,Ford,36,4.476,0.1188,0.2535,0.1674,0.1649,0.1816,0.1137,1497.15,1512.11,-1.33,24.27,-17.5
13,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,20,4.44,0.0581,0.288,0.1966,0.2385,0.1448,0.0741,1496.88,1509.12,-3.67,25.77,-1.5
14,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,1,3.89,0.0909,0.153,0.1719,0.2917,0.1748,0.1177,1497.85,1506.75,-1.67,20.38,17.5
15,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,27,3.867,0.0669,0.1745,0.1507,0.3589,0.1468,0.1023,1494.06,1490.25,-7.67,25.55,-8.5
16,Chris Buescher,17,RFK Racing,RFK Racing,Ford,11,3.837,0.0691,0.1216,0.225,0.3497,0.1203,0.1143,1513.12,1496.41,-0.83,25.55,7.5
17,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,7,3.701,0.0597,0.1828,0.169,0.2727,0.162,0.1539,1514.12,1498.81,-11.0,17.97,11.5
18,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,29,3.431,0.0544,0.2161,0.0927,0.2241,0.2391,0.1737,1500.58,1494.79,-7.83,24.91,-10.5
19,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,24,3.294,0.0261,0.1461,0.1407,0.3682,0.2022,0.1167,1492.2,1501.38,-6.33,22.31,-5.5
20,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,23,3.1,0.0414,0.103,0.1872,0.2668,0.229,0.1727,1501.81,1494.46,10.33,22.9,-4.5
21,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,5,2.775,0.0418,0.0526,0.2049,0.2085,0.3386,0.1536,1505.33,1495.98,-0.5,16.36,13.5
22,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,25,2.731,0.027,0.0929,0.1558,0.244,0.3009,0.1795,1492.45,1512.95,-3.33,21.06,-6.5
23,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,30,2.729,0.0266,0.0726,0.1781,0.2199,0.4053,0.0976,1507.15,1509.07,4.67,16.36,-11.5
24,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,21,2.696,0.0161,0.0687,0.1197,0.3865,0.2962,0.1128,1498.66,1493.47,-7.0,19.96,-2.5
25,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,18,2.692,0.0201,0.0362,0.194,0.3426,0.2391,0.1679,1502.8,1505.41,4.5,17.49,0.5
26,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,9,2.517,0.0102,0.0751,0.0818,0.3922,0.3033,0.1373,1511.39,1508.64,0.67,20.29,9.5
27,Ryan Preece,60,RFK Racing,RFK Racing,Ford,12,2.403,0.0186,0.0514,0.1033,0.3124,0.4029,0.1114,1506.9,1502.31,11.67,22.63,6.5
28,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,31,2.348,0.0274,0.0571,0.1382,0.2036,0.3727,0.201,1502.07,1512.79,4.67,23.07,-12.5
29,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,22,2.327,0.0112,0.0361,0.1341,0.2986,0.3952,0.1247,1508.84,1505.89,-3.5,20.1,-3.5
30,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,28,2.257,0.0155,0.0478,0.0766,0.3353,0.3784,0.1463,1495.19,1501.44,4.8,20.24,-9.5
31,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,17,2.221,0.012,0.0452,0.0709,0.358,0.356,0.1578,1506.38,1497.12,6.0,17.93,1.5
32,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,33,2.159,0.0122,0.0519,0.1216,0.1925,0.4886,0.1332,1493.26,1500.45,-4.5,21.06,-14.5
33,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,32,1.878,0.0136,0.0333,0.062,0.2128,0.5601,0.1181,1504.28,1505.61,-0.33,20.21,-13.5
34,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,34,1.626,0.0081,0.0185,0.0521,0.2143,0.5122,0.1948,1491.44,1504.29,1.67,20.49,-15.5
35,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,35,1.605,0.0056,0.0157,0.0471,0.197,0.6131,0.1215,1501.52,1492.97,9.0,15.3,-16.5
36,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,26,1.436,0.0051,0.0066,0.0207,0.1882,0.6705,0.1089,1494.53,1493.62,-1.0,14.11,-7.5
