ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,5.709,0.3,0.2259,0.1243,0.14,0.086,0.1238,1513.54,1511.53,6.83,27.04,16.0
2,Chris Buescher,17,RFK Racing,RFK Racing,Ford,6,5.291,0.2445,0.1986,0.196,0.1266,0.0963,0.1381,1509.18,1504.48,0.83,25.69,15.0
3,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,3,5.236,0.2856,0.1709,0.1636,0.0982,0.0712,0.2105,1509.56,1508.4,0.67,26.12,18.0
4,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,4,5.096,0.3646,0.0737,0.0823,0.1372,0.1117,0.2306,1500.28,1511.14,8.33,15.89,17.0
5,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,8,4.786,0.0535,0.4096,0.1957,0.098,0.1107,0.1325,1508.49,1507.22,-7.33,24.31,13.0
6,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,20,4.503,0.1001,0.2931,0.1631,0.1633,0.1448,0.1356,1510.46,1510.54,2.0,24.31,1.0
7,Ryan Blaney,12,Team Penske,Team Penske,Ford,16,4.332,0.1112,0.2326,0.1483,0.2521,0.0937,0.162,1513.63,1490.27,-10.83,23.86,5.0
8,Joey Logano,22,Team Penske,Team Penske,Ford,10,4.14,0.0564,0.2916,0.1455,0.2544,0.0433,0.2088,1514.83,1493.64,-18.5,23.86,11.0
9,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,38,4.12,0.1536,0.1567,0.1551,0.1869,0.1513,0.1965,1505.74,1504.89,6.83,27.04,-17.0
10,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,22,4.065,0.0731,0.2413,0.183,0.1857,0.1728,0.1441,1512.58,1511.6,-2.0,27.04,-1.0
