ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,6,5.669,0.3585,0.1175,0.161,0.1312,0.0629,0.169,1513.69,1512.58,1.83,27.11,14.5
2,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,5,5.288,0.1905,0.3248,0.1381,0.1231,0.0496,0.1739,1515.32,1492.32,-7.0,27.95,15.5
3,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,1,4.955,0.2748,0.1432,0.1244,0.1615,0.0984,0.1977,1516.21,1513.58,9.0,23.05,19.5
4,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,4,4.953,0.1997,0.249,0.1612,0.1165,0.0571,0.2164,1513.97,1508.18,1.83,23.05,16.5
5,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,4.82,0.1721,0.2302,0.2028,0.1201,0.1132,0.1616,1511.02,1500.0,4.0,27.95,11.5
6,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,8,4.767,0.2093,0.1614,0.1858,0.1675,0.1125,0.1635,1511.56,1511.33,2.33,25.2,12.5
7,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,2,4.738,0.2142,0.1487,0.1812,0.1908,0.0765,0.1886,1515.5,1505.73,2.5,25.2,18.5
8,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,7,4.585,0.18,0.1787,0.1849,0.1741,0.0878,0.1946,1513.2,1507.38,5.67,25.2,13.5
9,Chris Buescher,17,RFK Racing,RFK Racing,Ford,10,4.508,0.0959,0.2461,0.2306,0.1931,0.0944,0.1399,1510.53,1510.18,1.0,27.11,10.5
10,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,4.294,0.0979,0.2981,0.1543,0.1112,0.1236,0.2149,1514.4,1495.98,-10.17,27.95,17.5
11,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,14,4.232,0.12,0.2167,0.1496,0.2089,0.1411,0.1637,1504.37,1494.25,-7.0,27.95,6.5
12,Ryan Blaney,12,Team Penske,Team Penske,Ford,15,3.941,0.0507,0.2033,0.2199,0.2683,0.1065,0.1513,1501.26,1498.47,-15.0,25.26,5.5
13,Ryan Preece,60,RFK Racing,RFK Racing,Ford,11,3.896,0.1117,0.136,0.1927,0.2495,0.1155,0.1946,1509.78,1500.64,-9.17,27.11,9.5
14,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,17,3.516,0.1124,0.0763,0.1799,0.2755,0.1312,0.2247,1507.58,1510.05,1.67,23.05,3.5
15,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,31,3.362,0.0445,0.1494,0.1639,0.2933,0.1718,0.1771,1494.08,1502.08,-6.5,21.8,-10.5
16,Austin Cindric,2,Team Penske,Team Penske,Ford,13,3.34,0.0223,0.1851,0.1522,0.2872,0.199,0.1543,1509.19,1494.54,-15.33,25.26,7.5
17,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,22,3.26,0.1508,0.063,0.1477,0.1386,0.1564,0.3435,1502.81,1512.38,11.67,17.93,-1.5
18,Joey Logano,22,Team Penske,Team Penske,Ford,25,3.171,0.0497,0.1313,0.1675,0.252,0.1613,0.2382,1496.63,1513.15,-18.5,25.26,-4.5
19,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,20,3.067,0.1024,0.0786,0.0982,0.2751,0.177,0.2688,1505.77,1490.57,-3.5,25.2,0.5
20,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,34,3.029,0.0423,0.0862,0.194,0.292,0.1566,0.2289,1493.85,1505.8,-17.0,19.86,-13.5
21,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,19,3.018,0.0721,0.0908,0.1407,0.2606,0.1757,0.2601,1505.93,1490.83,-2.17,17.65,1.5
22,Shane van Gisbergen,97,Trackhouse Racing,Trackhouse Racing,Chevrolet,33,2.951,0.0282,0.0745,0.1841,0.3363,0.2187,0.1583,1494.05,1497.53,1.0,20.99,-12.5
23,Daniel Suarez,7,Spire Motorsports,Spire Motorsports,Chevrolet,16,2.786,0.0671,0.05,0.1594,0.2373,0.2564,0.2298,1504.48,1507.41,11.5,21.8,4.5
24,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,23,2.638,0.0605,0.0575,0.1308,0.2399,0.2577,0.2536,1502.94,1499.77,4.33,19.64,-2.5
25,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,12,2.619,0.0263,0.0851,0.149,0.2695,0.2074,0.2628,1508.52,1503.29,7.33,21.8,8.5
26,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,24,2.617,0.0164,0.1093,0.1364,0.2644,0.2118,0.2616,1499.9,1502.9,0.0,20.99,-3.5
27,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,30,2.595,0.0378,0.0628,0.1562,0.254,0.2339,0.2553,1495.84,1511.59,3.5,17.65,-9.5
28,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,18,2.585,0.0179,0.077,0.0925,0.3774,0.2725,0.1626,1506.05,1493.06,-11.17,19.86,2.5
29,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,21,2.439,0.0404,0.0429,0.1241,0.2718,0.2989,0.2219,1501.49,1501.9,8.67,19.64,-0.5
30,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,26,2.383,0.0262,0.0833,0.0695,0.3281,0.2063,0.2866,1499.75,1508.88,-10.5,17.39,-5.5
31,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,28,2.2,0.023,0.055,0.0677,0.3273,0.2647,0.2623,1496.04,1502.89,-4.67,17.45,-7.5
32,Cole Custer,41,Haas Factory Team,Haas Factory Team,Chevrolet,27,2.133,0.0287,0.0226,0.0971,0.2918,0.3263,0.2335,1500.99,1499.41,7.67,16.6,-6.5
33,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,29,1.85,0.022,0.04,0.102,0.1923,0.2633,0.3804,1498.54,1507.77,5.33,17.65,-8.5
34,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,35,1.812,0.0229,0.0429,0.078,0.2015,0.2886,0.3661,1495.89,1506.6,4.5,17.45,-14.5
35,Connor Zilisch,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,32,1.797,0.0103,0.0279,0.0746,0.2678,0.3219,0.2975,1498.26,1494.99,-1.0,20.99,-11.5
36,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Chevrolet,36,1.749,0.0412,0.0312,0.0429,0.1512,0.4509,0.2826,1493.42,1504.63,10.33,12.31,-15.5
37,Jesse Love,33,Richard Childress Racing,Richard Childress Racing,Chevrolet,37,1.377,0.0113,0.018,0.0466,0.1545,0.4416,0.328,1499.0,1500.0,0.0,18.82,-16.5
38,Daniel Dye,78,Live Fast Motorsports,Live Fast Motorsports,Chevrolet,40,1.141,0.0161,0.0211,0.0508,0.0662,0.38,0.4658,1500.0,1500.0,0.0,11.73,-19.5
39,Joey Gase,44,NY Racing Team,NY Racing Team,Chevrolet,39,1.116,0.0075,0.0148,0.023,0.0762,0.594,0.2845,1499.17,1497.1,9.5,7.39,-18.5
40,Chad Finchum,66,Garage 66,Garage 66,Ford,38,1.012,0.0074,0.0137,0.017,0.0434,0.6273,0.2912,1493.04,1500.0,0.0,6.88,-17.5
