ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,4,6.863,0.3059,0.4002,0.147,0.0781,0.0334,0.0354,1516.0,1514.87,8.33,25.76,16.0
2,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,7,6.426,0.323,0.1921,0.3095,0.0885,0.0381,0.0488,1514.84,1514.19,0.83,25.76,13.0
3,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,5.83,0.1658,0.3722,0.1815,0.2,0.0594,0.0212,1492.08,1512.73,4.67,28.4,17.0
4,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,1,5.536,0.1443,0.3412,0.2307,0.1545,0.0873,0.042,1494.23,1498.73,-3.67,28.4,19.0
5,Ryan Blaney,12,Team Penske,Team Penske,Ford,5,5.411,0.1813,0.2155,0.2964,0.1699,0.098,0.0389,1513.75,1509.77,8.17,24.09,15.0
6,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,20,4.949,0.2072,0.1543,0.2187,0.1951,0.1187,0.1062,1511.37,1513.03,-1.0,28.4,0.0
7,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,6,4.893,0.0308,0.3676,0.2657,0.1972,0.0916,0.0471,1510.32,1507.93,-10.33,25.76,14.0
8,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,26,4.54,0.122,0.1687,0.288,0.1851,0.1432,0.093,1514.65,1501.34,-4.83,28.4,-6.0
9,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,14,4.087,0.058,0.1971,0.1862,0.348,0.1527,0.058,1498.25,1511.45,-5.0,25.76,6.0
10,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,27,4.029,0.0747,0.1292,0.2877,0.2632,0.1492,0.096,1514.03,1506.36,-2.17,25.11,-7.0
11,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,16,3.762,0.0829,0.1156,0.1975,0.3077,0.2131,0.0831,1495.86,1499.34,3.17,24.8,4.0
12,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,13,3.753,0.0352,0.1045,0.2599,0.4177,0.1175,0.0652,1496.86,1509.97,-1.5,20.85,7.0
