ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,6.768,0.4485,0.2017,0.1236,0.0956,0.0331,0.0976,1511.1,1508.55,2.5,27.62,17.0
2,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,5,6.278,0.2943,0.335,0.1026,0.1053,0.0629,0.0998,1514.01,1507.92,8.17,27.62,14.0
3,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,6.12,0.3353,0.1581,0.1635,0.1286,0.0495,0.165,1516.37,1512.57,-3.67,27.62,16.0
4,Chris Buescher,17,RFK Racing,RFK Racing,Ford,7,5.969,0.2194,0.2119,0.2376,0.1885,0.0666,0.076,1508.55,1510.54,-1.0,27.06,12.0
5,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,1,5.781,0.2033,0.2615,0.2124,0.1284,0.0974,0.0969,1514.24,1515.31,-1.17,22.54,18.0
6,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,11,5.553,0.139,0.3265,0.162,0.152,0.1012,0.1194,1499.04,1504.06,2.33,27.62,8.0
7,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,4,5.475,0.2291,0.3859,0.1286,0.0953,0.0296,0.1315,1514.87,1494.93,-9.17,24.91,15.0
8,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,10,5.371,0.055,0.4374,0.1482,0.1586,0.1009,0.0997,1510.0,1493.85,-7.17,22.54,9.0
9,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,14,5.289,0.1509,0.2944,0.1424,0.1676,0.145,0.0997,1497.23,1511.41,-6.33,24.91,5.0
10,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,21,5.052,0.1902,0.2825,0.1583,0.1435,0.1122,0.1134,1508.38,1514.93,10.33,27.06,-2.0
11,Ryan Blaney,12,Team Penske,Team Penske,Ford,9,4.951,0.1559,0.2027,0.2142,0.1572,0.1003,0.1697,1515.93,1514.11,-0.67,24.98,10.0
12,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,13,4.864,0.1496,0.2035,0.2119,0.2056,0.1027,0.1267,1502.25,1506.35,-0.17,24.91,6.0
13,Joey Logano,22,Team Penske,Team Penske,Ford,15,4.011,0.086,0.1909,0.1781,0.278,0.1581,0.1089,1512.62,1494.18,1.83,24.98,4.0
14,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,6,3.708,0.0867,0.1391,0.1917,0.2093,0.2011,0.1721,1510.53,1513.58,-0.17,21.84,13.0
15,Ryan Preece,60,RFK Racing,RFK Racing,Ford,12,3.601,0.0915,0.1105,0.1958,0.2856,0.1547,0.162,1511.79,1507.22,6.17,27.06,7.0
16,Daniel Suarez,7,Spire Motorsports,Spire Motorsports,Chevrolet,8,3.39,0.047,0.1237,0.1617,0.3287,0.2187,0.1202,1509.16,1511.76,1.17,21.84,11.0
17,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,33,2.944,0.0475,0.06,0.1876,0.2663,0.2386,0.2,1493.11,1500.72,2.67,24.91,-14.0
18,Shane van Gisbergen,97,Trackhouse Racing,Trackhouse Racing,Chevrolet,17,2.931,0.0222,0.1032,0.1375,0.3558,0.2655,0.1159,1494.71,1507.03,1.33,21.27,2.0
19,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,19,2.922,0.0329,0.091,0.1152,0.3123,0.2817,0.1669,1501.49,1508.57,0.0,19.73,0.0
20,Austin Cindric,2,Team Penske,Team Penske,Ford,34,2.809,0.0451,0.0896,0.1453,0.2154,0.2898,0.2149,1506.54,1513.57,4.83,24.98,-15.0
21,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,31,2.689,0.0246,0.0909,0.134,0.2854,0.3483,0.1167,1503.9,1505.16,-0.5,21.27,-12.0
22,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,18,2.683,0.0291,0.0754,0.1254,0.326,0.3241,0.12,1500.74,1502.62,4.5,21.84,1.0
23,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,16,2.455,0.0197,0.0571,0.1216,0.385,0.309,0.1076,1505.49,1496.49,-7.17,17.89,3.0
24,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,22,2.394,0.0118,0.073,0.0751,0.3793,0.2947,0.1662,1502.93,1492.53,-3.5,22.54,-3.0
25,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,20,2.355,0.0164,0.0492,0.1114,0.3365,0.3587,0.1279,1504.73,1499.35,-4.33,19.99,-1.0
26,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,32,2.329,0.0204,0.0202,0.1285,0.3481,0.2939,0.1888,1493.61,1498.08,1.33,19.73,-13.0
27,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,23,2.302,0.0142,0.0347,0.1511,0.2961,0.3575,0.1465,1500.51,1501.9,-0.5,19.99,-4.0
28,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,30,2.28,0.0111,0.0392,0.0645,0.3031,0.4641,0.118,1495.75,1505.04,-9.83,17.24,-11.0
29,Corey Heim,67,23XI Racing,23XI Racing,Toyota,24,2.271,0.0146,0.0291,0.0976,0.3827,0.2808,0.1952,1499.19,1492.89,2.25,21.42,-5.0
30,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,27,1.871,0.0096,0.0339,0.0572,0.2519,0.4977,0.1497,1506.7,1496.59,-2.0,17.9,-8.0
31,Connor Zilisch,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,36,1.836,0.0107,0.0516,0.0519,0.2412,0.4381,0.2064,1494.93,1503.26,8.6,21.27,-17.0
32,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,28,1.805,0.0096,0.0204,0.0605,0.1943,0.5952,0.1199,1499.87,1498.91,0.83,17.79,-9.0
33,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,25,1.779,0.0116,0.0263,0.0637,0.2576,0.5429,0.098,1504.49,1501.93,-5.5,17.79,-6.0
34,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,26,1.628,0.0092,0.0201,0.0607,0.2134,0.5209,0.1757,1512.61,1501.07,4.83,17.79,-7.0
35,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,37,1.453,0.0068,0.0239,0.0628,0.12,0.5888,0.1977,1497.88,1495.2,4.67,17.9,-18.0
36,Cole Custer,41,Haas Factory Team,Haas Factory Team,Chevrolet,29,1.395,0.0059,0.0136,0.0354,0.1906,0.6102,0.1443,1498.32,1498.37,3.67,16.61,-10.0
37,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Chevrolet,35,0.998,0.0044,0.0072,0.0151,0.0485,0.7694,0.1554,1496.74,1492.57,-1.33,12.5,-16.0
