ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,5.772
2,Joey Logano,22,Team Penske,5.296
3,Kyle Larson,5,Hendrick Motorsports,5.064
4,Christopher Bell,20,Joe Gibbs Racing,4.69
5,Ty Gibbs,54,Joe Gibbs Racing,4.653
