ep_rank,driver,car_number,team,expected_points
1,Tyler Reddick,45,23XI Racing,4.712
2,Denny Hamlin,11,Joe Gibbs Racing,4.534
3,Chase Briscoe,19,Joe Gibbs Racing,4.434
4,Brad Keselowski,6,RFK Racing,4.259
5,Christopher Bell,20,Joe Gibbs Racing,4.026
