ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,1,7.55,0.5512,0.1854,0.1012,0.064,0.0427,0.0555,1509.88,1514.4,-9.5,26.94,18.0
2,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,4,6.461,0.4728,0.107,0.14,0.0719,0.0679,0.1403,1513.06,1513.6,11.0,25.39,15.0
3,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,6.127,0.3799,0.1659,0.1536,0.1102,0.0682,0.1221,1508.38,1513.79,5.5,26.94,17.0
4,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,5.427,0.2044,0.281,0.1889,0.1372,0.0609,0.1277,1512.19,1507.46,-0.33,25.39,16.0
5,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,11,5.155,0.146,0.332,0.1754,0.152,0.0384,0.1563,1514.84,1509.29,-10.67,25.39,8.0
6,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,5,4.776,0.103,0.2617,0.2565,0.1761,0.1024,0.1002,1513.07,1510.98,-2.33,26.94,14.0
7,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,8,4.401,0.0492,0.2457,0.2594,0.2568,0.1217,0.0672,1492.74,1508.42,-1.83,26.94,11.0
8,Ryan Blaney,12,Team Penske,Team Penske,Ford,37,4.368,0.0977,0.2652,0.1537,0.217,0.1151,0.1513,1516.8,1513.86,-4.5,24.52,-18.0
9,Chris Buescher,17,RFK Racing,RFK Racing,Ford,15,3.951,0.108,0.0891,0.218,0.338,0.1437,0.1033,1504.33,1508.61,1.0,25.07,4.0
10,Joey Logano,22,Team Penske,Team Penske,Ford,35,3.93,0.0766,0.2316,0.1566,0.1987,0.1644,0.1722,1514.8,1512.9,-10.17,24.52,-16.0
11,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,17,3.818,0.0715,0.1477,0.2068,0.2977,0.142,0.1344,1506.35,1498.92,1.5,25.39,2.0
12,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,7,3.787,0.066,0.1777,0.2314,0.2008,0.1235,0.2006,1499.37,1509.29,2.33,20.68,12.0
13,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,9,3.602,0.0687,0.1112,0.2013,0.3376,0.1175,0.1637,1510.82,1499.82,-3.5,21.41,10.0
14,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,31,3.474,0.051,0.1476,0.1618,0.2986,0.2269,0.1142,1501.56,1503.59,9.67,25.07,-12.0
15,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,6,3.393,0.0554,0.1182,0.1759,0.3174,0.1801,0.153,1508.68,1505.12,2.83,19.94,13.0
16,Austin Cindric,2,Team Penske,Team Penske,Ford,26,3.377,0.0225,0.1676,0.1385,0.3675,0.184,0.1199,1504.9,1502.97,-10.33,24.52,-7.0
17,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,13,3.266,0.0758,0.0938,0.1239,0.3502,0.1808,0.1754,1515.48,1490.18,-12.67,16.62,6.0
18,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,12,3.186,0.0345,0.0975,0.1748,0.3619,0.1991,0.1322,1502.19,1503.98,-6.33,20.68,7.0
19,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,10,3.098,0.0293,0.0999,0.1586,0.3544,0.2498,0.1081,1497.79,1500.51,1.33,20.05,9.0
20,Ryan Preece,60,RFK Racing,RFK Racing,Ford,19,3.073,0.0368,0.0708,0.1937,0.33,0.2507,0.118,1507.46,1507.13,9.67,25.07,0.0
21,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,25,3.05,0.0469,0.0588,0.2044,0.3067,0.2274,0.1558,1493.63,1511.01,7.0,20.05,-6.0
22,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,16,2.972,0.0173,0.091,0.1648,0.3657,0.2405,0.1207,1508.45,1503.11,-7.0,20.76,3.0
23,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,21,2.904,0.0185,0.0559,0.1988,0.3643,0.241,0.1215,1511.76,1506.11,1.17,19.94,-2.0
24,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,22,2.641,0.0295,0.0279,0.1664,0.3463,0.2802,0.1497,1493.97,1497.15,3.0,19.94,-3.0
