ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,5,6.76,0.3465,0.3225,0.1177,0.0601,0.0675,0.0858,1516.41,1514.99,10.33,27.26,13.5
2,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,1,6.396,0.1787,0.4326,0.1614,0.0743,0.0635,0.0897,1516.95,1515.37,-1.17,22.44,17.5
3,Chris Buescher,17,RFK Racing,RFK Racing,Ford,6,5.545,0.2015,0.2355,0.2439,0.1583,0.0739,0.0869,1511.24,1510.58,-1.0,27.26,12.5
4,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,2,5.458,0.1047,0.466,0.1093,0.1659,0.0881,0.066,1494.68,1493.83,-7.17,22.44,16.5
5,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,5.414,0.1828,0.3714,0.1358,0.1161,0.0343,0.1598,1509.82,1508.59,2.5,26.88,9.5
6,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,23,5.396,0.2561,0.2175,0.0863,0.1695,0.1138,0.1569,1508.72,1507.95,8.17,26.88,-4.5
7,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,5.05,0.1735,0.2198,0.3157,0.1116,0.0932,0.0862,1506.95,1506.37,-0.17,24.79,15.5
8,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,4,4.916,0.0908,0.3889,0.1639,0.1908,0.0857,0.08,1495.59,1494.91,-9.17,24.79,14.5
9,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,13,4.663,0.1657,0.2442,0.1668,0.1853,0.1082,0.1299,1511.92,1511.46,-6.33,24.79,5.5
10,Austin Cindric,2,Team Penske,Team Penske,Ford,12,4.609,0.175,0.1005,0.2016,0.1904,0.1326,0.1999,1513.24,1513.62,4.83,24.2,6.5
11,Ryan Blaney,12,Team Penske,Team Penske,Ford,7,4.443,0.1494,0.1661,0.2161,0.1519,0.1126,0.204,1515.32,1514.17,-0.67,24.2,11.5
12,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,28,4.427,0.1559,0.1087,0.2078,0.1863,0.137,0.2043,1513.1,1512.62,-3.67,26.88,-9.5
13,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,22,4.081,0.1622,0.1574,0.1355,0.2278,0.1839,0.1333,1504.4,1504.08,2.33,26.88,-3.5
14,Ryan Preece,60,RFK Racing,RFK Racing,Ford,17,3.743,0.1182,0.0992,0.1709,0.2673,0.2211,0.1233,1508.5,1507.25,6.17,27.26,1.5
15,Daniel Suarez,7,Spire Motorsports,Spire Motorsports,Chevrolet,11,3.722,0.0931,0.0731,0.1824,0.3379,0.1615,0.152,1512.52,1511.81,1.17,21.65,7.5
16,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,16,3.626,0.109,0.1008,0.146,0.2504,0.1537,0.24,1513.9,1513.63,-0.17,21.35,2.5
17,Joey Logano,22,Team Penske,Team Penske,Ford,29,3.275,0.0505,0.1088,0.1632,0.3646,0.2309,0.0819,1495.35,1494.16,1.83,24.2,-10.5
