ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,4,7.46,0.5412,0.1675,0.1109,0.0958,0.0336,0.051,1513.18,1512.5,-6.17,29.04,14.5
2,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,6.632,0.4356,0.1771,0.1382,0.1038,0.0331,0.1122,1511.46,1509.25,-3.33,29.04,13.5
3,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,5.97,0.2936,0.2432,0.2124,0.0771,0.0387,0.135,1515.4,1513.29,-4.83,25.54,15.5
4,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,1,5.377,0.1904,0.3041,0.1506,0.1616,0.1068,0.0865,1505.88,1504.49,-5.33,25.54,17.5
5,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,8,5.252,0.0879,0.3993,0.1923,0.1829,0.0674,0.0702,1497.4,1496.24,-12.5,25.54,10.5
6,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,9,5.116,0.0827,0.3983,0.1801,0.1741,0.0785,0.0863,1512.2,1510.35,-8.17,23.62,9.5
7,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,17,4.953,0.2428,0.1255,0.1484,0.256,0.1354,0.0918,1507.19,1505.45,4.33,29.04,1.5
8,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,12,4.693,0.086,0.2378,0.3187,0.1605,0.0935,0.1035,1511.54,1509.62,-3.5,23.62,6.5
9,Ryan Blaney,12,Team Penske,Team Penske,Ford,13,4.689,0.1031,0.3559,0.1613,0.1056,0.0442,0.23,1516.02,1514.69,-0.17,23.88,5.5
10,Joey Logano,22,Team Penske,Team Penske,Ford,15,4.639,0.2381,0.1034,0.1753,0.1753,0.1314,0.1765,1514.3,1513.59,4.83,23.88,3.5
11,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,25,4.326,0.0861,0.183,0.2781,0.2306,0.1008,0.1213,1510.36,1509.22,1.33,25.54,-6.5
12,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,14,4.042,0.1599,0.0778,0.1806,0.2948,0.1113,0.1757,1515.02,1512.32,-6.5,20.5,4.5
13,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,2,3.971,0.1256,0.1327,0.1818,0.2316,0.1827,0.1456,1509.89,1507.93,6.83,20.66,16.5
14,Austin Cindric,2,Team Penske,Team Penske,Ford,11,3.64,0.0273,0.2222,0.152,0.284,0.1992,0.1152,1505.46,1504.11,-9.17,23.88,7.5
15,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,20,3.624,0.06,0.1237,0.2778,0.1792,0.2317,0.1277,1509.54,1507.2,13.67,21.8,-1.5
16,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,16,3.497,0.0483,0.1475,0.1559,0.349,0.1549,0.1444,1494.01,1492.22,-7.17,29.04,2.5
