ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,5.617
2,Chase Briscoe,19,Joe Gibbs Racing,5.609
3,Joey Logano,22,Team Penske,5.194
4,Christopher Bell,20,Joe Gibbs Racing,4.898
5,William Byron,24,Hendrick Motorsports,4.894
