ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,5.086
2,Ty Gibbs,54,Joe Gibbs Racing,4.837
3,Kyle Larson,5,Hendrick Motorsports,4.716
4,Christopher Bell,20,Joe Gibbs Racing,4.305
5,Chris Buescher,17,RFK Racing,4.154
