ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Ryan Blaney,12,Team Penske,Team Penske,Ford,1,7.053,0.2694,0.361,0.1689,0.0897,0.0675,0.0435,1513.3,1511.93,7.0,24.51,17.81
2,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,5,7.05,0.4839,0.1427,0.2084,0.0851,0.0423,0.0376,1514.4,1513.07,-4.0,27.34,13.81
3,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,8,6.45,0.2175,0.3405,0.2111,0.139,0.0507,0.0412,1511.56,1509.97,-2.83,24.95,10.81
4,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,11,6.413,0.3282,0.2426,0.1824,0.1121,0.0443,0.0904,1515.12,1513.69,-9.67,27.34,7.81
5,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,14,5.983,0.3556,0.1997,0.1297,0.1655,0.0823,0.0672,1512.38,1511.7,8.17,27.34,4.81
6,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,2,5.114,0.1132,0.2418,0.3025,0.1287,0.1238,0.09,1507.6,1506.04,-4.0,22.32,16.81
7,Joey Logano,22,Team Penske,Team Penske,Ford,20,5.02,0.1669,0.1753,0.1755,0.2367,0.1446,0.101,1515.98,1513.53,-1.33,24.51,-1.19
8,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,18,4.959,0.1595,0.3041,0.1977,0.1409,0.0959,0.1018,1516.25,1514.73,4.0,24.95,0.81
9,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,4.929,0.1418,0.2016,0.2988,0.1936,0.1132,0.051,1507.38,1505.04,-1.33,27.34,15.81
10,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,12,4.913,0.0668,0.2993,0.1431,0.2904,0.1404,0.06,1494.02,1491.4,-8.0,22.32,6.81
11,Ryan Preece,60,RFK Racing,RFK Racing,Ford,17,4.655,0.1675,0.1452,0.1703,0.2724,0.1743,0.0702,1509.15,1507.48,6.17,27.26,1.81
