ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,1,6.827,0.506,0.136,0.0946,0.0699,0.1328,0.0607,1501.44,1514.64,-8.0,21.71,19.5
2,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,5.214,0.1501,0.2706,0.2567,0.1376,0.1229,0.0621,1508.52,1509.76,-13.17,25.46,11.5
3,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,6,5.152,0.187,0.2963,0.1494,0.1096,0.1314,0.1263,1503.26,1491.19,-2.5,20.96,14.5
4,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,5,5.118,0.0572,0.4755,0.1253,0.161,0.1081,0.0729,1496.78,1510.97,-1.67,25.46,15.5
5,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,4,4.943,0.1954,0.1968,0.2175,0.132,0.1285,0.1299,1513.91,1502.58,-4.0,21.69,16.5
6,Chris Buescher,17,RFK Racing,RFK Racing,Ford,8,4.762,0.1472,0.2227,0.246,0.0978,0.2083,0.0781,1512.08,1509.03,12.83,23.85,12.5
7,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,11,4.57,0.1925,0.1235,0.218,0.1995,0.0931,0.1735,1514.83,1512.99,0.33,28.27,9.5
8,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,2,4.37,0.2772,0.0559,0.119,0.1365,0.2018,0.2096,1506.15,1512.73,3.67,19.93,18.5
9,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,14,4.251,0.127,0.1915,0.1478,0.2182,0.2469,0.0686,1505.95,1492.79,-12.67,28.27,6.5
10,Joey Logano,22,Team Penske,Team Penske,Ford,12,4.197,0.0603,0.2349,0.1646,0.3131,0.1872,0.0399,1494.31,1502.43,-6.0,23.12,8.5
11,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,38,4.196,0.063,0.2183,0.2424,0.2299,0.1368,0.1097,1493.86,1509.6,1.67,28.27,-17.5
