ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,5.442
2,Tyler Reddick,45,23XI Racing,5.083
3,Kyle Larson,5,Hendrick Motorsports,5.039
4,Christopher Bell,20,Joe Gibbs Racing,4.794
5,Ty Gibbs,54,Joe Gibbs Racing,4.559
