ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,5.426
2,Kyle Larson,5,Hendrick Motorsports,4.966
3,Ty Gibbs,54,Joe Gibbs Racing,4.649
4,Chase Briscoe,19,Joe Gibbs Racing,4.418
5,Christopher Bell,20,Joe Gibbs Racing,4.138
