ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,3,6.701,0.441,0.1765,0.1364,0.1076,0.0504,0.0881,1515.39,1511.73,6.0,25.39,16.5
2,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,5,6.612,0.4565,0.1064,0.2035,0.0827,0.0363,0.1146,1514.18,1512.72,-0.67,25.62,14.5
3,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,7,6.264,0.2938,0.2942,0.1868,0.0929,0.0538,0.0784,1507.57,1510.36,-8.83,25.62,12.5
4,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,19,5.826,0.3158,0.1918,0.1559,0.1682,0.0403,0.1279,1513.47,1514.34,-0.67,28.45,0.5
5,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,4,5.53,0.3318,0.1083,0.1927,0.1327,0.0923,0.1422,1510.57,1512.75,-0.83,24.68,15.5
6,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,17,5.034,0.1069,0.3408,0.1936,0.1896,0.0429,0.1262,1516.16,1495.54,1.83,25.39,2.5
7,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,1,4.939,0.1384,0.2296,0.2471,0.2031,0.1034,0.0785,1501.71,1507.53,2.33,28.45,18.5
8,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,15,4.822,0.166,0.2279,0.1574,0.2278,0.0964,0.1245,1513.33,1502.45,3.5,28.45,4.5
9,Austin Cindric,2,Team Penske,Team Penske,Ford,6,4.707,0.0371,0.3462,0.23,0.2186,0.1077,0.0605,1491.68,1503.08,-11.83,23.76,13.5
10,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,11,4.612,0.0527,0.3608,0.1469,0.239,0.1078,0.0928,1507.75,1498.96,-8.0,25.39,8.5
11,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,33,4.386,0.1705,0.1585,0.1634,0.1809,0.2126,0.1142,1498.76,1514.57,-1.17,28.45,-13.5
12,Ryan Blaney,12,Team Penske,Team Penske,Ford,9,4.217,0.0511,0.2336,0.2343,0.2605,0.1179,0.1026,1509.89,1491.59,-1.0,23.76,10.5
13,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,20,4.109,0.0886,0.1421,0.2343,0.3165,0.1071,0.1113,1500.39,1498.05,-3.67,25.1,-0.5
14,Ryan Preece,60,RFK Racing,RFK Racing,Ford,2,3.905,0.0752,0.1863,0.1499,0.3184,0.1445,0.1258,1511.7,1509.89,13.33,24.43,17.5
15,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,8,3.894,0.1027,0.1641,0.1855,0.2083,0.1671,0.1724,1504.79,1501.14,-8.67,20.14,11.5
16,Joey Logano,22,Team Penske,Team Penske,Ford,18,3.889,0.0627,0.1954,0.2003,0.2368,0.1829,0.122,1510.74,1507.2,-4.17,23.76,1.5
17,Chris Buescher,17,RFK Racing,RFK Racing,Ford,14,3.794,0.1039,0.1122,0.1473,0.3481,0.1885,0.0999,1500.59,1511.99,2.17,25.1,5.5
18,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,25,3.239,0.05,0.1418,0.1818,0.1957,0.2496,0.181,1513.12,1495.37,6.83,22.32,-5.5
19,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,21,3.164,0.032,0.0896,0.173,0.3888,0.1855,0.1311,1497.9,1509.23,-1.33,21.05,-1.5
20,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,10,3.159,0.0333,0.0811,0.1783,0.3817,0.2221,0.1036,1507.88,1502.67,-0.17,20.88,9.5
21,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,30,2.752,0.0272,0.1227,0.1036,0.2645,0.31,0.172,1502.81,1501.66,8.67,22.32,-10.5
22,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,13,2.715,0.0244,0.0774,0.0949,0.4015,0.2499,0.1518,1503.54,1490.49,-5.33,21.05,6.5
23,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,22,2.653,0.0325,0.0623,0.1114,0.3667,0.2346,0.1925,1501.29,1510.83,3.0,18.07,-2.5
24,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,12,2.593,0.0227,0.0362,0.1238,0.4097,0.2651,0.1425,1510.37,1495.37,1.33,20.23,7.5
25,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,16,2.572,0.0137,0.0676,0.1065,0.3624,0.3422,0.1076,1505.18,1508.37,-3.33,20.24,3.5
26,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,24,2.536,0.0239,0.077,0.0896,0.3473,0.2683,0.1939,1495.11,1504.56,-5.83,16.74,-4.5
27,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,28,2.445,0.0149,0.0577,0.1254,0.2955,0.3786,0.1279,1503.37,1499.19,2.83,22.95,-8.5
28,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,26,2.397,0.0116,0.0438,0.1279,0.3054,0.4186,0.0927,1496.79,1504.85,-6.83,20.16,-6.5
29,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,23,2.317,0.0138,0.04,0.1142,0.3207,0.3656,0.1457,1503.86,1506.2,-0.5,20.14,-3.5
30,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,32,2.075,0.0109,0.0466,0.1038,0.2747,0.296,0.2679,1496.37,1493.61,1.2,24.32,-12.5
31,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,27,1.923,0.0105,0.0405,0.0515,0.2321,0.5809,0.0845,1499.73,1500.21,4.5,16.06,-7.5
32,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,34,1.914,0.01,0.0325,0.112,0.1506,0.5745,0.1205,1491.55,1506.02,-3.83,16.06,-14.5
33,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,29,1.889,0.0078,0.0218,0.0942,0.2158,0.5389,0.1214,1507.37,1497.92,1.67,18.07,-9.5
34,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,36,1.74,0.0095,0.0248,0.0599,0.2414,0.4482,0.2163,1495.14,1493.9,2.17,21.73,-16.5
35,Austin Hill,33,Richard Childress Racing,Richard Childress Racing,Chevrolet,37,1.498,0.0086,0.0141,0.0472,0.1936,0.4958,0.2406,1500.47,1493.89,1.4,18.8,-17.5
36,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,31,1.314,0.0046,0.0057,0.0187,0.1432,0.7056,0.1222,1495.36,1496.44,0.0,12.9,-11.5
37,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,35,1.282,0.0042,0.0076,0.0189,0.129,0.7048,0.1354,1497.22,1492.99,4.67,15.11,-15.5
38,J.J. Yeley,44,NY Racing Team,NY Racing Team,Chevrolet,38,0.995,0.0059,0.011,0.0154,0.0583,0.6068,0.3026,1493.07,1492.89,3.0,8.31,-18.5
