ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Joey Logano,22,Team Penske,Team Penske,Ford,1,6.092,0.2961,0.2447,0.1823,0.1341,0.1047,0.0382,1514.15,1512.53,10.5,24.02,17.5
2,Ryan Blaney,12,Team Penske,Team Penske,Ford,2,5.829,0.2858,0.2249,0.1817,0.1195,0.1293,0.0588,1514.77,1513.65,10.17,24.02,16.5
3,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,5.777,0.2145,0.2274,0.3019,0.1521,0.075,0.0292,1508.7,1508.57,-3.33,25.55,13.5
4,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,18,5.665,0.2802,0.1762,0.2193,0.1466,0.0938,0.0839,1511.95,1510.83,6.5,26.62,0.5
5,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,5.494,0.0799,0.4288,0.2267,0.1632,0.0713,0.0302,1497.42,1496.85,-4.33,26.62,9.5
6,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,19,5.418,0.1159,0.4051,0.1864,0.1419,0.0658,0.0848,1516.53,1515.38,-3.67,26.62,-0.5
7,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,17,5.316,0.1472,0.2745,0.2661,0.1699,0.082,0.0602,1515.28,1515.72,3.5,25.1,1.5
8,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,16,5.229,0.1514,0.3219,0.1414,0.2143,0.1123,0.0588,1496.45,1495.93,-1.0,25.55,2.5
9,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,3,4.887,0.1943,0.1078,0.2543,0.2806,0.0762,0.0868,1492.2,1491.36,-9.0,16.26,15.5
10,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,6,4.724,0.19,0.1033,0.2062,0.3133,0.1301,0.0571,1512.13,1511.55,1.67,19.89,12.5
11,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,7,4.425,0.0828,0.2218,0.1696,0.3501,0.1461,0.0295,1511.16,1511.67,-4.0,25.55,11.5
12,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,13,4.376,0.0991,0.1858,0.2466,0.2274,0.1683,0.0726,1510.55,1510.09,0.83,26.62,5.5
13,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,4,4.253,0.0722,0.1381,0.3044,0.3034,0.1325,0.0494,1506.99,1506.02,-5.67,20.54,14.5
14,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,27,3.804,0.0482,0.1421,0.257,0.3011,0.1385,0.113,1493.2,1492.32,-10.5,25.55,-8.5
15,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,14,3.716,0.0712,0.149,0.1507,0.324,0.2346,0.0704,1495.94,1494.93,-2.5,20.54,4.5
16,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,8,3.641,0.0657,0.0892,0.1854,0.4096,0.2038,0.0463,1504.67,1504.11,8.33,21.56,10.5
17,Chris Buescher,17,RFK Racing,RFK Racing,Ford,15,3.542,0.0529,0.0839,0.2121,0.408,0.1408,0.1023,1509.82,1510.34,-3.17,25.1,3.5
18,Ryan Preece,60,RFK Racing,RFK Racing,Ford,23,3.354,0.0444,0.1016,0.1565,0.3908,0.244,0.0627,1504.05,1502.2,1.33,25.1,-4.5
19,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,12,3.197,0.0271,0.0733,0.1211,0.5549,0.143,0.0806,1492.87,1493.77,-14.0,19.11,6.5
20,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,10,3.151,0.0281,0.0864,0.1845,0.3798,0.2038,0.1175,1499.36,1500.35,-3.67,21.56,8.5
21,Austin Cindric,2,Team Penske,Team Penske,Ford,22,3.126,0.0244,0.0583,0.2118,0.3808,0.2727,0.052,1496.69,1497.91,-5.0,24.02,-3.5
22,Justin Haley,7,Spire Motorsports,Spire Motorsports,Chevrolet,21,2.935,0.0143,0.0779,0.173,0.3664,0.2828,0.0857,1509.05,1508.11,-3.17,19.89,-2.5
23,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,11,2.816,0.0181,0.0548,0.1556,0.3912,0.3002,0.0802,1506.3,1505.12,-5.5,19.89,7.5
24,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,28,2.526,0.0469,0.0347,0.1158,0.28,0.3954,0.1272,1498.87,1498.48,4.67,20.84,-9.5
25,Zane Smith,38,Front Row Motorsports,Front Row Motorsports,Ford,20,2.361,0.0263,0.0447,0.1182,0.2911,0.3208,0.1989,1515.31,1514.14,4.67,18.36,-1.5
26,Erik Jones,43,Legacy Motor Club,Legacy Motor Club,Toyota,26,2.16,0.0144,0.0326,0.0839,0.2912,0.4946,0.0833,1503.27,1504.26,0.5,20.04,-7.5
27,John Hunter Nemechek,42,Legacy Motor Club,Legacy Motor Club,Toyota,29,1.944,0.01,0.0647,0.0585,0.1602,0.6178,0.0888,1508.02,1506.93,4.33,20.04,-10.5
28,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,24,1.846,0.0111,0.0214,0.0735,0.2032,0.6084,0.0825,1505.43,1505.6,6.67,20.84,-5.5
29,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,32,1.816,0.0147,0.0171,0.0597,0.249,0.5045,0.155,1493.95,1492.98,0.0,21.56,-13.5
30,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,31,1.738,0.0099,0.016,0.0496,0.2452,0.5426,0.1367,1495.45,1496.62,-3.5,16.59,-12.5
31,Riley Herbst,35,23XI Racing,23XI Racing,Toyota,25,1.704,0.0072,0.015,0.0382,0.248,0.5914,0.1002,1506.42,1505.85,1.5,20.54,-6.5
32,Ty Dillon,10,Kaulig Racing,Kaulig Racing,Chevrolet,30,1.502,0.0087,0.0121,0.0272,0.1969,0.6041,0.151,1500.14,1498.8,-0.5,19.11,-11.5
33,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,36,1.406,0.0098,0.0172,0.0427,0.0944,0.6906,0.1452,1502.32,1501.89,4.5,18.36,-17.5
34,Ricky Stenhouse Jr.,47,Hyak Motorsports,Hyak Motorsports,Chevrolet,34,1.38,0.0087,0.0153,0.034,0.1141,0.6734,0.1544,1502.01,1502.43,0.67,18.62,-15.5
35,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,33,1.187,0.0055,0.0108,0.0149,0.122,0.6165,0.2303,1502.75,1502.14,1.83,18.36,-14.5
36,Cody Ware,51,Rick Ware Racing,Rick Ware Racing,Ford,35,1.021,0.0042,0.0066,0.0109,0.0572,0.7063,0.2148,1498.89,1498.41,2.67,13.75,-16.5
