ep_rank,driver,car_number,team,expected_points
1,Christopher Bell,20,Joe Gibbs Racing,4.869
2,Kyle Larson,5,Hendrick Motorsports,4.477
3,Ryan Blaney,12,Team Penske,4.255
4,Denny Hamlin,11,Joe Gibbs Racing,4.219
5,Chase Elliott,9,Hendrick Motorsports,4.194
