ep_rank,driver,car_number,team,expected_points
1,Denny Hamlin,11,Joe Gibbs Racing,4.85
2,Kyle Larson,5,Hendrick Motorsports,4.381
3,Ryan Blaney,12,Team Penske,4.37
4,Ty Gibbs,54,Joe Gibbs Racing,4.23
5,Tyler Reddick,45,23XI Racing,4.151
