ep_rank,driver,car_number,team,expected_points
1,Kyle Larson,5,Hendrick Motorsports,4.997
2,Michael McDowell,71,Spire Motorsports,4.264
3,Ty Gibbs,54,Joe Gibbs Racing,4.252
4,Chase Briscoe,19,Joe Gibbs Racing,4.145
5,Tyler Reddick,45,23XI Racing,4.101
