ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,1,5.964,0.341,0.1424,0.2034,0.155,0.0756,0.0826,1511.65,1510.62,0.0,27.88,18.0
2,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,20,5.405,0.0894,0.4641,0.1412,0.1647,0.0619,0.0786,1500.18,1498.4,-8.0,25.82,-1.0
3,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,14,5.313,0.2065,0.2873,0.1506,0.1403,0.0635,0.1519,1510.14,1508.4,-8.0,27.88,5.0
4,Austin Cindric,2,Team Penske,Team Penske,Ford,8,5.224,0.2057,0.2376,0.188,0.1464,0.1254,0.097,1512.67,1511.76,-10.83,24.32,11.0
5,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,5,5.145,0.2094,0.2207,0.1876,0.1402,0.1472,0.0949,1513.55,1513.56,3.5,27.88,14.0
6,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,9,5.021,0.1199,0.3117,0.2116,0.1573,0.1102,0.0893,1497.57,1496.1,-2.5,25.82,10.0
7,Ryan Blaney,12,Team Penske,Team Penske,Ford,6,4.956,0.1695,0.1953,0.2223,0.2309,0.0889,0.093,1492.36,1491.56,3.83,24.32,13.0
8,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,18,4.783,0.1557,0.2242,0.2217,0.1391,0.1297,0.1295,1508.97,1508.46,4.83,27.88,1.0
9,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,4,4.745,0.1479,0.2407,0.1543,0.2219,0.1441,0.0912,1504.53,1504.8,-5.5,22.75,15.0
10,Josh Berry,21,Wood Brothers Racing,Wood Brothers Racing,Ford,2,4.7,0.1932,0.2131,0.167,0.1168,0.0908,0.2191,1516.14,1515.24,-7.33,17.73,17.0
11,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,16,4.185,0.0906,0.2141,0.2333,0.1848,0.059,0.2181,1508.06,1507.52,7.67,24.57,3.0
12,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,23,3.947,0.0947,0.1598,0.2063,0.2233,0.1807,0.1353,1499.51,1499.11,5.33,24.57,-4.0
13,Chris Buescher,17,RFK Racing,RFK Racing,Ford,11,3.864,0.0654,0.1109,0.2635,0.3247,0.1414,0.0941,1507.62,1507.37,-1.83,25.32,8.0
14,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,13,3.757,0.0697,0.2158,0.1117,0.2592,0.2129,0.1306,1502.63,1500.96,-5.5,24.57,6.0
15,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,10,3.554,0.0765,0.0934,0.1708,0.3818,0.1358,0.1417,1511.69,1510.87,3.33,17.82,9.0
16,Daniel Suarez,99,Trackhouse Racing,Trackhouse Racing,Chevrolet,33,3.553,0.044,0.2712,0.1205,0.1369,0.2012,0.2261,1516.18,1515.0,11.5,22.81,-14.0
17,Joey Logano,22,Team Penske,Team Penske,Ford,12,3.532,0.0304,0.1577,0.223,0.2621,0.2227,0.1041,1506.21,1506.56,-2.83,24.32,7.0
18,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,32,3.445,0.0322,0.1537,0.2028,0.2558,0.2655,0.09,1508.44,1507.38,-4.67,25.32,-13.0
19,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,25,3.264,0.0766,0.1097,0.2068,0.1707,0.185,0.2513,1512.96,1512.69,8.67,22.81,-6.0
20,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,15,3.056,0.039,0.1031,0.1433,0.3558,0.1601,0.1987,1495.2,1494.45,1.0,21.26,4.0
21,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,22,2.943,0.0404,0.0958,0.1406,0.3283,0.1808,0.2142,1494.21,1493.14,-7.5,19.96,-3.0
22,Noah Gragson,4,Front Row Motorsports,Front Row Motorsports,Ford,3,2.842,0.0294,0.0654,0.1262,0.387,0.2978,0.0942,1495.24,1495.53,-8.17,19.82,16.0
